seed,slope_noise_std,observation_noise_std,ar1_phi,horizon,n_outer_origins,mean_selected_order,mean_selected_window,mean_smoothness_forecast,mean_smoothness_recovery_oracle,mean_smoothness_gap,mean_relative_rmsfe,median_relative_rmsfe,mean_outer_block_mse,mean_benchmark_block_mse
0,0.002,0.2,0.0,1,20,2.55,70.8,0.9963185193615924,0.9800963667062963,0.016222152655296185,4.775322521587266,0.9368846793515573,0.07583163897165612,0.09325121518710984
0,0.002,0.2,0.0,3,20,2.05,69.6,0.9880186425810482,0.9780533928233316,0.009965249757716566,0.9217986473632411,0.8247499079069759,0.05580853239210633,0.08380090663901855
0,0.002,0.2,0.0,6,20,2.1,70.8,0.9857505838371534,0.9784091752605585,0.007341408576594888,0.8948236703175552,0.8852075686473191,0.04986740514408609,0.09042020483808347
0,0.002,0.2,0.4,1,20,2.35,66.0,0.9935596350105078,0.9894197320769926,0.004139902933515088,1.6814772973311414,0.9272980676892384,0.07345778046525149,0.06113379804437713
0,0.002,0.2,0.4,3,20,2.05,69.6,0.9883658648364108,0.9893684569619474,-0.0010025921255365222,1.1757781067461228,1.001546871782736,0.06469073636904057,0.06595507835508581
0,0.002,0.2,0.4,6,20,2.0,72.0,0.9852161570809607,0.9884278678755154,-0.0032117107945548564,1.0008060630407458,0.9371320755641015,0.05122384548976603,0.07116758233204609
0,0.002,0.2,0.8,1,20,1.45,44.4,0.6116149831905693,0.9534105486039159,-0.3417955654133467,1.8604959654693665,1.003509693910425,0.02755313152382194,0.022939366342943766
0,0.002,0.2,0.8,3,20,1.9,50.4,0.8882075889655974,0.9896147888060078,-0.10140719984041029,1.424978448833873,0.9440057392523935,0.05062575081466769,0.037366066196451914
0,0.002,0.2,0.8,6,20,2.0,58.8,0.9852896591578568,0.9978633312049345,-0.012573672047077744,1.4214478909759252,0.8779286057385023,0.05165195253508842,0.0446881291811725
0,0.002,0.5,0.0,1,20,2.4,69.6,0.9979610348848402,0.9937517096504538,0.004209325234386457,2.155170409379208,0.9567532454229157,0.42107054360141644,0.5788588803285986
0,0.002,0.5,0.0,3,20,2.0,70.8,0.9931244624886844,0.9936022862578904,-0.0004778237692061427,0.9398320496361503,1.0027555353658137,0.3133435475321066,0.48450545127384476
0,0.002,0.5,0.0,6,20,2.0,67.2,0.9929129051514861,0.9945150582832477,-0.001602153131761691,0.9014631542846837,0.9624391362813212,0.2947506692519984,0.4957185028348203
0,0.002,0.5,0.4,1,20,2.25,67.2,0.9887773602649921,0.9969761769996005,-0.0081988167346084,6.674738974581588,1.115015547800028,0.4414675283200597,0.37788494795685434
0,0.002,0.5,0.4,3,20,2.0,72.0,0.9916580849750032,0.9968368189378403,-0.005178733962837201,1.3090563630663115,1.0570984174497633,0.35424154103732314,0.3781304457028574
0,0.002,0.5,0.4,6,20,2.0,72.0,0.991353894867116,0.9968368189378403,-0.00548292407072421,1.0613236582415038,1.0510763823319706,0.30502853962883775,0.373424348427602
0,0.002,0.5,0.8,1,20,1.1,42.0,0.6164026974825311,0.9476659512239595,-0.33126325374142834,1.3632123050892162,1.0982618265860404,0.16603511301206847,0.13945261997950076
0,0.002,0.5,0.8,3,20,1.35,38.4,0.7540241335696409,0.9745339159363701,-0.2205097823667291,1.3407320023886673,1.1057072171072064,0.27370751591689635,0.2081956232115621
0,0.002,0.5,0.8,6,20,1.85,60.0,0.9338001061506425,0.9944680732095057,-0.06066796705886322,1.4855449189973464,1.1082041400556872,0.2910596768216914,0.21060941977969513
0,0.002,1.0,0.0,1,20,2.3,66.0,0.9953853983512355,0.995245765418168,0.00013963293306751834,1.802373892832757,0.9189554973374563,1.7122977433429718,2.3141457032514876
0,0.002,1.0,0.0,3,20,2.0,72.0,0.9951605125593798,0.9976208904381988,-0.0024603778788190424,0.9374481705660482,1.0312984993632877,1.2123835547436075,1.9042367539821172
0,0.002,1.0,0.0,6,20,2.0,72.0,0.9942787143338945,0.9976208904381988,-0.003342176104304312,0.8965478466366037,0.9787113447035026,1.1590281812080911,1.949722627647579
0,0.002,1.0,0.4,1,20,1.85,57.6,0.9582827577612877,0.9798915308440954,-0.02160877308280773,2.5540922783602484,0.9355279232309799,1.553776820386298,1.5099298734582909
0,0.002,1.0,0.4,3,20,1.95,69.6,0.9909000548371789,0.9981681435615715,-0.007268088724392346,1.374162863427677,1.0387664286306486,1.3843244131943933,1.4856186266362914
0,0.002,1.0,0.4,6,20,1.9,67.2,0.9870392015384907,0.9982918433647606,-0.011252641826269876,1.0510982698002298,1.0205933222292067,1.191135141183381,1.4579256583593927
0,0.002,1.0,0.8,1,20,1.1,58.8,0.6486118824222392,0.9712583708267701,-0.32264648840453086,2.0434155879836373,1.134228316211899,0.6702674377344083,0.5565777217576838
0,0.002,1.0,0.8,3,20,1.15,45.6,0.7496284699190222,0.9738675432914075,-0.2242390733723853,1.3495702379975552,1.1234121554302696,1.0288838657523318,0.817541341337999
0,0.002,1.0,0.8,6,20,1.4,54.0,0.8215651033002084,0.984690555417553,-0.16312545211734472,1.3729770966617605,1.059465648978803,1.1830826361282547,0.8102414818278365
0,0.01,0.2,0.0,1,20,2.75,44.4,0.9793715600287964,0.9503252227624005,0.02904633726639589,1.4867826760452751,1.0579673059773542,0.06725824543959753,0.09778520731254992
0,0.01,0.2,0.0,3,20,2.0,52.8,0.9561019448228338,0.9233208620390869,0.032781082783746945,0.7521267820787441,0.7193968629410405,0.05700699636091148,0.11369035249490142
0,0.01,0.2,0.0,6,20,2.05,43.2,0.9571116042984332,0.9276103422908173,0.02950126200761586,0.7459706855280525,0.6643650417101815,0.06605277434345296,0.1667352462287709
0,0.01,0.2,0.4,1,20,2.35,42.0,0.9567172996850692,0.9551781691475896,0.0015391305374796382,2.246223135319752,0.9932984446654478,0.055719502656536954,0.06622598251791952
0,0.01,0.2,0.4,3,20,2.0,56.4,0.9620011318935656,0.9465568054609502,0.01544432643261548,0.9193979717945862,0.7241848245778233,0.05987912669116548,0.0948122043248111
0,0.01,0.2,0.4,6,20,2.05,55.2,0.9615110402188206,0.9431879948842206,0.018323045334599948,0.8301391483942874,0.657065215221643,0.06647735766326554,0.14884769335251566
0,0.01,0.2,0.8,1,20,2.0,60.0,0.8589061910582458,0.9591230017049963,-0.1002168106467504,1.6481362885294615,0.814862007421314,0.0252198957530264,0.027829627725791277
0,0.01,0.2,0.8,3,20,2.1,44.4,0.963442275950355,0.9623905522499587,0.0010517237003962899,1.4002635032733266,0.8868008162906285,0.04103300051578304,0.06261266152062965
0,0.01,0.2,0.8,6,20,2.15,54.0,0.9694058273711562,0.9560268326911807,0.013378994679975432,0.9481360653578582,0.7271576259468485,0.05492778557169027,0.11966442054622653
0,0.01,0.5,0.0,1,20,2.65,58.8,0.995646440459516,0.9769187059277866,0.018727734531729368,2.8710140635843517,0.8552893905420595,0.4076001787324481,0.5818240679023533
0,0.01,0.5,0.0,3,20,2.15,69.6,0.9819929959922888,0.9619160050792235,0.020076990913065296,0.9586730802615266,0.8180009456771167,0.3593882698766856,0.5207537610637045
0,0.01,0.5,0.0,6,20,2.15,69.6,0.9795750604712339,0.9642599887394043,0.015315071731829593,0.9317635431079546,0.8706933408721901,0.3278368630396537,0.565504442493528
0,0.01,0.5,0.4,1,20,2.3,52.8,0.9852449117887033,0.9819632766017679,0.0032816351869355276,1.5279299976450789,0.8786831823840453,0.3700893073888075,0.38224561640086485
0,0.01,0.5,0.4,3,20,2.15,52.8,0.993467534730541,0.9779067118635607,0.015560822866980229,1.2523516118956808,0.9867557200103607,0.40470950722577886,0.4117979557773233
0,0.01,0.5,0.4,6,20,2.15,67.2,0.9833996903172249,0.9751025086428651,0.008297181674359744,1.0904259415721502,0.9585497013292639,0.3588173579450441,0.4466229621607649
0,0.01,0.5,0.8,1,20,1.5,50.4,0.6183983496940086,0.9625489682628767,-0.3441506185688683,1.7470665018142952,0.9022949252741043,0.15672158177578782,0.1433084806967742
0,0.01,0.5,0.8,3,20,1.9,49.2,0.8895436386848447,0.9764415607252392,-0.08689792204039451,1.3793435861732095,0.9297467449362653,0.30562047720857954,0.23283680667215895
0,0.01,0.5,0.8,6,20,2.05,63.6,0.9823831431316081,0.9862646523381574,-0.0038815092065492387,1.436168640863112,0.893327237751073,0.332760307153685,0.2770484843743193
0,0.01,1.0,0.0,1,20,2.55,70.8,0.9963185191034659,0.9800963663207252,0.016222152782740855,3.0735381497856533,0.9105779329419466,1.8957908936243473,2.314496216572434
0,0.01,1.0,0.0,3,20,2.05,69.6,0.9880186385588086,0.9780533930043388,0.009965245554469909,0.9647965927830464,0.9487961675812766,1.3952133264417266,1.9510831703286058
0,0.01,1.0,0.0,6,20,2.1,70.8,0.9857505837941712,0.9784091754492138,0.00734140834495745,0.9164637572298483,0.9539758356136918,1.2466852779119608,2.008626731086321
0,0.01,1.0,0.4,1,20,2.35,66.0,0.9935596367079924,0.989419730307767,0.004139906400225301,2.7459670643113623,0.9393232525741462,1.8364444769776398,1.513071348519748
0,0.01,1.0,0.4,3,20,2.05,69.6,0.9883658648020841,0.9893684571692027,-0.0010025923671185377,1.299412884116308,1.2042901981391623,1.6172687720492103,1.527303443551991
0,0.01,1.0,0.4,6,20,2.0,72.0,0.9852161568766323,0.988427868081698,-0.0032117112050656206,1.083797593819186,1.035934430647453,1.28059626171411,1.523655109947045
0,0.01,1.0,0.8,1,20,1.1,40.8,0.5846764111396912,0.9415421215973006,-0.3568657104576093,1.4149374498485572,1.0152743501701686,0.6493532964797293,0.5587095813656676
0,0.01,1.0,0.8,3,20,1.85,50.4,0.9088429670478531,0.9944806071045431,-0.08563764005668995,1.3464191479319183,1.0349698117584651,1.201331914049034,0.8411735050259613
