seed,n_obs,slope_noise_std,observation_noise_std,ar1_phi,horizon,outer_origin,selected_order,selected_window,lambda_forecast,smoothness_forecast,inner_forecast_mse,lambda_recovery_oracle,smoothness_recovery_oracle,recovery_mse_oracle,smoothness_gap_forecast_minus_recovery,outer_block_mse,benchmark_block_mse,relative_rmsfe_block
0,240,0.002,0.2,0.0,1,120,3,72,8886110.520507872,0.9966617747032164,0.024889912281591677,91511.4040320224,0.9699009989817324,0.0011911333651343653,0.026760775721483943,0.011749492302532555,0.004786011023756509,1.5668329759444235
0,240,0.002,0.2,0.0,1,126,3,72,8886110.520507872,0.9966617747032164,0.02321167473870978,688617.4850079545,0.9846286534983957,0.0007394431483551049,0.012033121204820696,0.06949636115821489,6.679556016773712e-05,32.25575669503409
0,240,0.002,0.2,0.0,1,132,3,72,8886110.520507872,0.9966617747032164,0.025743808442677228,3294652.070806863,0.9930586298353851,0.00033634935954597947,0.0036031448678313094,0.013154268759581825,0.014558546804700798,0.950548633641182
0,240,0.002,0.2,0.0,1,138,3,72,8886110.520507872,0.9966617747032164,0.027498790033492385,2686902.7958345627,0.9921115604417121,0.0004057370453859563,0.0045502142615042596,0.014917018765320329,9.268174986301597e-06,40.118427845531265
0,240,0.002,0.2,0.0,1,144,3,72,8886110.520507872,0.9966617747032164,0.029090178261662398,8886110.520507872,0.9966617747032164,0.0004205120831116333,0.0,0.008079523072770474,0.05772664034771479,0.3741146554622658
0,240,0.002,0.2,0.0,1,150,3,72,8886110.520507872,0.9966617747032164,0.027510880554486156,8886110.520507872,0.9966617747032164,0.001964652097962119,0.0,0.05322359897170835,0.0981925144914784,0.7362290136535791
0,240,0.002,0.2,0.0,1,156,3,72,8886110.520507872,0.9966617747032164,0.02759820687807501,1808900.0289360029,0.9901183442437507,0.0007587838000122818,0.0065434304594657045,0.008145458172046411,0.003097782628500822,1.6215572597871575
0,240,0.002,0.2,0.0,1,162,3,72,8886110.520507872,0.9966617747032164,0.026387623129251112,8886110.520507872,0.9966617747032164,0.0004413311592195166,0.0,0.010073401660618103,0.04632327455887362,0.46632473237635946
0,240,0.002,0.2,0.0,1,168,3,72,8886110.520507872,0.9966617747032164,0.029241186516259367,8886110.520507872,0.9966617747032164,0.0006282559547002916,0.0,0.03575207275940226,0.2304334314329233,0.3938926429527934
0,240,0.002,0.2,0.0,1,174,3,72,8886110.520507872,0.9966617747032164,0.030202920509328147,190237.87516224154,0.9758591365652657,0.0011209006336478505,0.02080263813795069,0.44473154835751316,0.2436009783743973,1.3511683234105005
0,240,0.002,0.2,0.0,1,180,2,72,30460.56892119413,0.9867281466552574,0.04359751603106274,3073.223039543532,0.9653665230955222,0.0011964042717862492,0.021361623559735254,0.001565300129213553,0.040549826596328796,0.1964736484198269
0,240,0.002,0.2,0.0,1,186,2,72,77620.71317090257,0.9923780042467443,0.04319905359443742,2916.2720236537198,0.9647187047689085,0.0012104138033067957,0.02765929947783574,0.021624743882750094,0.2131540732129836,0.3185141042054948
