direction,start_control,target_control,seed,horizon,relative_origin,transition_adaptive_order,transition_adaptive_window,transition_adaptive_smoothness,transition_adaptive_window_post_fraction,start_adaptive_order,start_adaptive_window,start_adaptive_smoothness,start_adaptive_window_post_fraction,target_adaptive_order,target_adaptive_window,target_adaptive_smoothness,target_adaptive_window_post_fraction,abs_smoothness_gap_to_target,order_match_target,window_match_target,discrete_config_match_target
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,72,2,48,0.9937313975388802,1.0,3,72,0.973216508078016,1.0,2,24,0.9999996729835173,1.0,0.00626827544463715,1.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,75,1,24,0.9291543796377757,1.0,3,72,0.9728198287708284,1.0,2,24,0.999999676283885,1.0,0.07084529664610928,0.0,1.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,78,1,24,0.9483864272788581,1.0,3,72,0.9725562376718031,1.0,1,24,0.9444978269516555,1.0,0.003888600327202618,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,81,1,72,0.9385346034685722,1.0,1,48,0.8293039995291879,1.0,1,72,0.9372094842039589,1.0,0.001325119264613317,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,84,1,72,0.9523783743912355,1.0,1,72,0.8583495888018906,1.0,1,72,0.9518173405877862,1.0,0.0005610338034492957,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,87,1,48,0.956100992087152,1.0,1,48,0.8516292318307722,1.0,1,48,0.9557588942461671,1.0,0.000342097840984934,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,90,1,48,0.9572232773899507,1.0,1,72,0.8411084887072197,1.0,1,48,0.9571985712681624,1.0,2.4706121788287128e-05,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,93,1,48,0.9576246670974834,1.0,1,72,0.8450422112330749,1.0,1,48,0.9576049263327392,1.0,1.974076474420272e-05,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,96,1,48,0.9545710868500531,1.0,1,48,0.846616282802436,1.0,1,48,0.9546680329310339,1.0,9.694608098076429e-05,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,99,1,48,0.9489916753196546,1.0,1,48,0.8474272657587962,1.0,1,48,0.9490550829050433,1.0,6.340758538869729e-05,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,102,1,72,0.905618098556168,1.0,3,48,0.9759543738008164,1.0,1,72,0.9055861142202459,1.0,3.1984335922108365e-05,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,105,1,72,0.9017905118252126,1.0,3,48,0.9728027411356532,1.0,1,72,0.9017527327541053,1.0,3.777907110735779e-05,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,108,1,72,0.9095450901466969,1.0,3,48,0.9730572476151804,1.0,1,72,0.9095126385230267,1.0,3.245162367027099e-05,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,111,1,72,0.9359676239121772,1.0,1,72,0.8266832662968998,1.0,1,48,0.9393372550100902,1.0,0.003369631097912995,1.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,114,1,72,0.9476542344037097,1.0,3,48,0.9733045899758891,1.0,1,72,0.9474187895486418,1.0,0.00023544485506787893,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,1,117,1,48,0.9835264252580642,1.0,3,48,0.9727814414204862,1.0,1,48,0.9835264252580642,1.0,0.0,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,0,2,48,0.9728811394254971,0.0,2,48,0.9728811394254971,0.0,3,72,0.9994662241569521,0.0,0.026585084731454933,0.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,3,2,72,0.9881249365648412,0.041666666666666664,2,48,0.9799535563396621,0.0625,2,72,0.9892332472319,0.041666666666666664,0.0011083106670587428,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,6,2,72,0.9842268244251428,0.08333333333333333,2,48,0.9768087518053767,0.125,2,72,0.989632196606663,0.08333333333333333,0.005405372181520263,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,9,3,72,0.9991570422110821,0.125,2,48,0.9768466866178819,0.1875,2,72,0.9861731086904787,0.125,0.012983933520603452,0.0,1.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,12,2,72,0.9819641961881667,0.16666666666666666,2,48,0.9765066883569642,0.25,2,72,0.9876025567337866,0.16666666666666666,0.005638360545619947,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,15,2,72,0.9814344296490205,0.20833333333333334,2,48,0.9761985798445648,0.3125,2,72,0.9873604869493158,0.20833333333333334,0.005926057300295273,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,18,3,72,0.9999657477887227,0.25,2,48,0.9752818781469373,0.375,2,72,0.9867089383016037,0.25,0.013256809487119048,0.0,1.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,21,3,72,0.9999484297740466,0.2916666666666667,2,48,0.9745560974190783,0.4375,2,72,0.9866585057112832,0.2916666666666667,0.013289924062763414,0.0,1.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,24,3,72,0.9995268823342003,0.3333333333333333,2,72,0.965752071891785,0.3333333333333333,2,72,0.9862926074336821,0.3333333333333333,0.013234274900518206,0.0,1.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,27,2,48,0.9886297969741857,0.5625,2,72,0.9677824704623224,0.375,2,72,0.9870162051177903,0.375,0.0016135918563954244,1.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,30,2,48,0.9884640880215285,0.625,2,72,0.9624729816256608,0.4166666666666667,2,72,0.98592548293868,0.4166666666666667,0.002538605082848533,1.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,33,3,72,0.9993049526162626,0.4583333333333333,2,48,0.9640684451563096,0.6875,2,72,0.9856689987271443,0.4583333333333333,0.013635953889118313,0.0,1.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,36,3,72,0.9994745833383768,0.5,2,72,0.957788884765755,0.5,2,72,0.9853919334095717,0.5,0.014082649928805147,0.0,1.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,39,2,72,0.9812920873970339,0.5416666666666666,2,72,0.9612102662358528,0.5416666666666666,2,72,0.9862425004504358,0.5416666666666666,0.004950413053401936,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,42,3,72,0.9999937700828486,0.5833333333333334,2,24,0.9967844591722668,1.0,2,72,0.9866750109720454,0.5833333333333334,0.013318759110803269,0.0,1.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,45,3,72,0.9999840849199929,0.625,2,24,0.9999993431839399,1.0,2,48,0.998108191106165,0.9375,0.0018758938138279113,0.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,48,2,48,0.9972152347122015,1.0,2,72,0.9709856602544183,0.6666666666666666,2,48,0.9999990215052298,1.0,0.0027837867930282645,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,51,2,48,0.9995374782547841,1.0,2,72,0.9747880921227269,0.7083333333333334,2,48,0.9999990215052298,1.0,0.0004615432504456729,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,54,2,48,0.9999990215052298,1.0,3,72,0.9999987523564559,0.75,2,48,0.9999990215052298,1.0,0.0,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,57,2,48,0.9999990215052298,1.0,2,72,0.9715576835990185,0.7916666666666666,2,48,0.9999990215052298,1.0,0.0,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,60,2,48,0.9999990215052298,1.0,3,72,0.9999987523564559,0.8333333333333334,2,48,0.9999990215052298,1.0,0.0,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,63,3,72,0.9999928818739616,0.875,3,72,0.9999987523564559,0.875,2,48,0.9999990215052298,1.0,6.139631268164969e-06,0.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,66,2,48,0.9999990215052298,1.0,3,72,0.9999987523564559,0.9166666666666666,2,48,0.9999990215052298,1.0,0.0,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,69,2,48,0.9999990215052298,1.0,2,24,0.9649734924022825,1.0,2,48,0.9982612238627405,1.0,0.0017377976424892694,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,72,2,48,0.9999990215052298,1.0,3,72,0.9987890433599936,1.0,2,48,0.9999990215052298,1.0,0.0,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,75,3,72,0.9999893867518553,1.0,2,24,0.9666015237170139,1.0,2,48,0.9988489005696739,1.0,0.0011404861821814327,0.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,78,3,72,0.9999844228470869,1.0,2,24,0.9696589498663778,1.0,3,72,0.9986331352139153,1.0,0.001351287633171605,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,81,3,72,0.9999813763675063,1.0,2,24,0.9696425408639052,1.0,3,72,0.9992367747059628,1.0,0.0007446016615434425,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,84,3,72,0.9999818862254766,1.0,2,24,0.9707999566866825,1.0,3,72,0.999412444177938,1.0,0.0005694420475386153,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,87,3,72,0.999991509532876,1.0,1,48,0.5125702898243534,1.0,3,72,0.9999812308458925,1.0,1.0278686983444807e-05,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,90,2,48,0.9922469162563018,1.0,1,24,0.5210376361917217,1.0,2,48,0.9918925701116089,1.0,0.0003543461446928742,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,93,2,48,0.9942797381208163,1.0,1,24,0.5132751392910797,1.0,2,48,0.9942560602604662,1.0,2.367786035006869e-05,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,96,2,48,0.9967733291608348,1.0,1,24,0.5461352725257714,1.0,2,48,0.9966998937042805,1.0,7.343545655436046e-05,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,99,1,24,0.9260007606409528,1.0,1,24,0.7188441586355866,1.0,1,24,0.9260007606409528,1.0,0.0,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,102,1,24,0.8851294372138988,1.0,1,24,0.4834632040679872,1.0,1,24,0.8851294372138988,1.0,0.0,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,105,2,48,0.9955200524026663,1.0,1,24,0.6135461639842584,1.0,2,48,0.9964242678659986,1.0,0.000904215463332303,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,108,1,72,0.8687928099447313,1.0,1,72,0.6880562603086395,1.0,1,48,0.8714737526892865,1.0,0.0026809427445552148,1.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,111,1,72,0.9112171663955472,1.0,1,72,0.7524578347343847,1.0,1,48,0.9141885148130922,1.0,0.0029713484175449834,1.0,0.0,0.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,114,1,72,0.9084803254985893,1.0,1,72,0.7349344310149624,1.0,1,72,0.9084732392926509,1.0,7.086205938366952e-06,1.0,1.0,1.0
low_to_high_noise,stable_low_noise,stable_high_noise,0,3,117,1,72,0.9336197694865923,1.0,1,72,0.69160207723482,1.0,1,72,0.9336356574754063,1.0,1.588798881402287e-05,1.0,1.0,1.0
