transition,horizon,seed,adaptive_mse,frozen_mse,adaptive_rmse_vs_frozen,adaptive_mse_advantage_vs_frozen
high_to_low_noise,1,0,0.10575925307151383,0.1737829338111208,0.7801096049510616,0.06802368073960698
high_to_low_noise,1,1,0.09530297519284628,0.0876439433554846,1.0427789954080775,-0.007659031837361677
high_to_low_noise,1,2,0.10732087229096528,0.5860988745502184,0.4279141554532144,0.4787780022592531
high_to_low_noise,1,3,0.12849025990769686,0.3103066278926206,0.6434867041777698,0.18181636798492373
high_to_low_noise,1,4,0.09795947649584172,0.11075580581963203,0.9404592387619463,0.01279632932379031
high_to_low_noise,1,5,0.13572954490822592,0.13090006433110485,1.0182801232965626,-0.00482948057712107
high_to_low_noise,1,6,0.17461364822725592,1.7222104443287314,0.3184168075289919,1.5475967961014754
high_to_low_noise,1,7,0.09114451287845868,0.08693481842754998,1.0239255696250578,-0.004209694450908699
high_to_low_noise,1,8,0.08533022189093434,0.13963337776238555,0.7817300659226686,0.05430315587145121
high_to_low_noise,1,9,0.12560524069244985,0.10552186949790258,1.0910198233595625,-0.02008337119454727
high_to_low_noise,1,10,0.14958020641014405,0.13436176203016836,1.055113594764897,-0.015218444379975687
high_to_low_noise,1,11,0.07079528190413797,0.11156434347095168,0.7965984383586255,0.0407690615668137
high_to_low_noise,1,12,0.08567118145038455,0.17406031421751336,0.7015643244969594,0.08838913276712881
high_to_low_noise,1,13,0.15989079874472573,0.13215941265854256,1.0999240196688362,-0.02773138608618317
high_to_low_noise,1,14,0.13047114526611403,1.9258654848110524,0.26028207623231275,1.7953943395449383
high_to_low_noise,1,15,0.09998368272869847,0.09759879662738619,1.01214406568299,-0.0023848861013122807
high_to_low_noise,1,16,0.08272301444535964,0.1336009542848632,0.7868797984136084,0.050877939839503575
high_to_low_noise,1,17,0.09736772023198559,0.1796106442937822,0.736277392143838,0.08224292406179662
high_to_low_noise,1,18,0.11406776753361318,0.1656400490007452,0.8298484665024474,0.05157228146713201
high_to_low_noise,1,19,0.15137050919707482,0.23530086158314592,0.8020637292754639,0.0839303523860711
