transition,horizon,period,n_blocks,adaptive_mse,frozen_mse,benchmark_mse,adaptive_rmse_vs_frozen,adaptive_relative_rmsfe_vs_no_change,frozen_relative_rmsfe_vs_no_change,mean_adaptive_mse_advantage_vs_frozen,order_diff_share,window_diff_share,mean_abs_smoothness_change
high_to_low_noise,1,all_post,1200,0.11120582835889109,0.33414128708131596,0.16980230629794094,0.5768975627285311,0.8092672816661091,1.4027919928081296,0.2229354587224248,0.5625,0.6083333333333333,0.06763268150822334
high_to_low_noise,1,early,360,0.13702612965216898,0.18918961743086055,0.20014480464868947,0.8510460220027022,0.8274267077143218,0.9722467249975519,0.052163487778691564,0.38055555555555554,0.49166666666666664,0.04024375646553949
high_to_low_noise,1,late,480,0.08957223893225387,0.4578448072654594,0.16732751333950213,0.44231082518532067,0.731649426363035,1.654152204067098,0.36827256833320554,0.6791666666666667,0.675,0.08256731076365666
high_to_low_noise,1,mid,360,0.11423031296779625,0.31415492981957993,0.14275953189177748,0.6030019877216645,0.8945160259981296,1.48343793919801,0.1999246168517837,0.5888888888888889,0.6361111111111111,0.07510876754366275
high_to_low_noise,3,all_post,1200,0.11070805066654484,0.2916290354344393,0.2952530640865627,0.6161326467955449,0.6123396691972769,0.993843894463319,0.18092098476789448,0.38333333333333336,0.5383333333333333,0.04474861266883378
high_to_low_noise,3,early,360,0.13520707289810305,0.18835495432849492,0.2918865749707801,0.8472492272796369,0.6806010976323962,0.8033068378447301,0.053147881430391834,0.29444444444444445,0.2777777777777778,0.027956687159206677
high_to_low_noise,3,late,480,0.0941436939339819,0.39693822817519436,0.3298311479459778,0.4870058230175658,0.5342564625616205,1.0970227404084867,0.3027945342412125,0.42083333333333334,0.7104166666666667,0.051194038385410055
high_to_low_noise,3,mid,360,0.10829483741173718,0.2544908595527103,0.252515441389792,0.6523306470362653,0.6548772544717416,1.003903859870828,0.14619602214097308,0.4222222222222222,0.5694444444444444,0.05294663722302584
high_to_low_noise,6,all_post,1170,0.14169680833992152,0.36382939415563187,0.6386063091777785,0.62406689114771,0.4710461207822419,0.7548006911822379,0.22213258581571038,0.4076923076923077,0.5307692307692308,0.04219804534474187
high_to_low_noise,6,early,360,0.17805092027263691,0.2323582700443166,0.5289332117458672,0.8753727924814811,0.5801919418960815,0.6627941225490575,0.054307349771679676,0.3194444444444444,0.33055555555555555,0.023033451470614738
