seed,transition,pre_observation_noise_std,post_observation_noise_std,fixed_ar1_phi,slope_noise_std,horizon,regime_point,outer_origin,relative_origin,period,adaptive_order,adaptive_window,adaptive_lambda,adaptive_smoothness,adaptive_window_post_fraction,frozen_order,frozen_window,frozen_lambda,frozen_smoothness,frozen_window_post_fraction,adaptive_order_differs,adaptive_window_differs,adaptive_smoothness_minus_frozen,adaptive_mse,frozen_mse,benchmark_mse,adaptive_rmse,frozen_rmse,benchmark_rmse,adaptive_mse_advantage_vs_frozen,adaptive_relative_rmsfe_vs_no_change,frozen_relative_rmsfe_vs_no_change
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,180,0,early,2,48,3101.932632423876,0.972214039136268,0.0,2,48,3101.932632423876,0.972214039136268,0.0,0.0,0.0,0.0,0.1347994604770523,0.1347994604770523,1.3617430068626755,0.3671504602707891,0.3671504602707891,1.166937447707749,0.0,0.31462737012338926,0.31462737012338926
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,183,3,early,2,72,8250.10681003218,0.9760902972392227,0.041666666666666664,2,48,3101.932632423876,0.972214039136268,0.0625,0.0,1.0,0.003876258102954666,0.010418651460370255,0.011480488899846705,0.24277618594042222,0.10207179561646917,0.10714704335559944,0.49272323462611567,0.0010618374394764495,0.20715847851973632,0.2174588812254894
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,186,6,early,2,48,4317.866699985354,0.9761487179851337,0.125,2,48,3101.932632423876,0.972214039136268,0.125,0.0,0.0,0.003934678848865669,0.07683435606124392,0.07980786435367514,0.002396005095204404,0.2771901081590826,0.2825028572486925,0.048949005048156025,0.002973508292431218,5.662834369899511,5.771370775989547
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,189,9,early,2,48,4579.78967855103,0.9768163338721204,0.1875,2,48,3101.932632423876,0.972214039136268,0.1875,0.0,0.0,0.004602294735852386,0.17830832596939547,0.17840690229435086,0.2565229737776649,0.4222657054147252,0.422382412387579,0.5064809707952165,9.857632495538504e-05,0.8337247197100683,0.8339551468723576
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,192,12,early,2,48,4316.972259096753,0.9761463523095396,0.25,2,48,3101.932632423876,0.972214039136268,0.25,0.0,0.0,0.003932313173271584,0.0005197846340286804,0.0003977090025469166,0.07684759097717288,0.022798785801631638,0.019942642817513345,0.2772139804865059,-0.00012207563148176377,0.08224255415120171,0.0719395276620405
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,195,15,early,2,48,3527.778813737501,0.9737827525780678,0.3125,2,48,3101.932632423876,0.972214039136268,0.3125,0.0,0.0,0.0015687134417997628,0.05633037816080372,0.05668520579601239,0.2565480831100363,0.23734021606294142,0.23808655106076948,0.506505758220019,0.0003548276352086724,0.4685834508515976,0.470056948409554
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,198,18,early,2,24,18866.858664108175,0.9981487190081696,0.75,2,48,3101.932632423876,0.972214039136268,0.375,0.0,1.0,0.025934679871901567,0.03682250741504739,0.02101411706103512,0.07238330542337179,0.19189191597106792,0.14496246776678134,0.2690414567002115,-0.01580839035401227,0.7132429266649783,0.5388108938478974
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,201,21,early,2,48,3359.480691039519,0.9731925533829412,0.4375,2,48,3101.932632423876,0.972214039136268,0.4375,0.0,0.0,0.0009785142466731678,0.07402703756816802,0.07543199769465016,0.07661865670882091,0.2720791016748034,0.27464886254024456,0.2768007527244478,0.001404960126482141,0.9829420584909148,0.9922258514002473
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,204,24,early,2,48,4041.363953429875,0.9753868547830599,0.5,2,48,3101.932632423876,0.972214039136268,0.5,0.0,0.0,0.003172815646791838,0.08542246981576937,0.07884511760736171,0.07262484813865858,0.2922712264588654,0.28079372786328705,0.26948997780744754,-0.006577352208407661,1.0845346785686227,1.0419449737901425
0,stable_low_noise,0.25,0.25,0.0,0.01,1,180,207,27,early,2,48,3663.090353925119,0.9742323688305845,0.5625,2,48,3101.932632423876,0.972214039136268,0.5625,0.0,0.0,0.0020183296943164786,0.024673341844761755,0.022538017968290167,0.0018592284470661078,0.15707750266910203,0.1501266730740749,0.04311877140023945,-0.0021353238764715878,3.642903022701378,3.4817010828198414
