direction,horizon,threshold,consecutive_origins_required,adaptation_delay_observations,achieved,mean_abs_reference_smoothness_shift_post,late_order_match_target_share,late_window_match_target_share,late_discrete_config_match_target_share
high_to_low_noise,1,0.5,3,51.0,True,0.031070850225836756,0.9395833333333333,0.8812500000000001,0.8687500000000001
high_to_low_noise,1,0.8,3,51.0,True,0.031070850225836756,0.9395833333333333,0.8812500000000001,0.8687500000000001
high_to_low_noise,3,0.5,3,42.0,True,0.02602152723935005,0.9812500000000001,0.8729166666666667,0.8583333333333334
high_to_low_noise,3,0.8,3,42.0,True,0.02602152723935005,0.9812500000000001,0.8729166666666667,0.8583333333333334
high_to_low_noise,6,0.5,3,51.0,True,0.02928601234286426,0.9555555555555556,0.8355555555555555,0.8244444444444444
high_to_low_noise,6,0.8,3,60.0,True,0.02928601234286426,0.9555555555555556,0.8355555555555555,0.8244444444444444
high_to_low_noise,12,0.5,3,27.0,True,0.024609806390305626,0.9461538461538462,0.8153846153846155,0.7794871794871796
high_to_low_noise,12,0.8,3,27.0,True,0.024609806390305626,0.9461538461538462,0.8153846153846155,0.7794871794871796
low_to_high_noise,1,0.5,3,15.0,True,0.031070850225836756,0.9604166666666667,0.9333333333333333,0.9166666666666667
low_to_high_noise,1,0.8,3,15.0,True,0.031070850225836756,0.9604166666666667,0.9333333333333333,0.9166666666666667
low_to_high_noise,3,0.5,3,60.0,True,0.02602152723935005,0.9645833333333333,0.9270833333333334,0.9020833333333333
low_to_high_noise,3,0.8,3,60.0,True,0.02602152723935005,0.9645833333333333,0.9270833333333334,0.9020833333333333
low_to_high_noise,6,0.5,3,36.0,True,0.02928601234286426,0.9600000000000001,0.9355555555555557,0.9111111111111113
low_to_high_noise,6,0.8,3,36.0,True,0.02928601234286426,0.9600000000000001,0.9355555555555557,0.9111111111111113
low_to_high_noise,12,0.5,3,54.0,True,0.024609806390305626,0.9564102564102565,0.8820512820512822,0.8666666666666667
low_to_high_noise,12,0.8,3,54.0,True,0.024609806390305626,0.9564102564102565,0.8820512820512822,0.8666666666666667
