direction,matched_control,horizon,period,n_pairs,transition_adaptive_rmse_vs_frozen,control_adaptive_rmse_vs_frozen,mean_excess_adaptive_mse_advantage
low_to_high_noise,stable_low_noise,1,all_post,1200,1.0091813922596335,0.8786484377606891,-0.040465554846162585
low_to_high_noise,stable_low_noise,1,early,360,1.0351905946119662,0.960841397984042,-0.05504467860330339
low_to_high_noise,stable_low_noise,1,late,480,0.9884426204861196,0.8198085634080613,-0.02687254352882075
low_to_high_noise,stable_low_noise,1,mid,360,1.0121035666970173,0.8893279551015469,-0.0440104461788109
low_to_high_noise,stable_low_noise,3,all_post,1200,0.9724272261608559,0.8586954971948502,0.006033461594573652
low_to_high_noise,stable_low_noise,3,early,360,1.0056808258643068,0.9610276355000449,-0.015354946299333783
low_to_high_noise,stable_low_noise,3,late,480,0.9523007238036489,0.7710328758778329,0.0068161400169280215
low_to_high_noise,stable_low_noise,3,mid,360,0.9696442280625092,0.9155726102647596,0.026378298258675267
low_to_high_noise,stable_low_noise,6,all_post,1170,0.9660762436373267,0.8421965921907885,0.005526253308213855
low_to_high_noise,stable_low_noise,6,early,360,0.9994771635486398,0.9585344766616722,-0.009829652153623853
low_to_high_noise,stable_low_noise,6,late,450,0.9328992502009463,0.7384953302552392,0.013580977006196275
low_to_high_noise,stable_low_noise,6,mid,360,0.9775165163163166,0.9063381721982965,0.010813754147573532
low_to_high_noise,stable_low_noise,12,all_post,1110,0.9428980105951245,0.8174581763588086,0.01119075488351111
low_to_high_noise,stable_low_noise,12,early,360,1.0005448617576593,0.9308249700699462,-0.0361645320771377
low_to_high_noise,stable_low_noise,12,late,390,0.89466646011985,0.7015553150083741,0.017280075170168257
low_to_high_noise,stable_low_noise,12,mid,360,0.9421059723297353,0.8676642920962112,0.051949278200281356
high_to_low_noise,stable_high_noise,1,all_post,1200,0.5768975627285311,0.9022794800446993,0.05832726558285383
high_to_low_noise,stable_high_noise,1,early,360,0.8510460220027022,0.9785547279570759,0.021312112973843833
high_to_low_noise,stable_high_noise,1,late,480,0.44231082518532067,0.8381794584605878,0.07376721777242576
high_to_low_noise,stable_high_noise,1,mid,360,0.6030019877216645,0.9282302736787247,0.07475581527243463
high_to_low_noise,stable_high_noise,3,all_post,1200,0.6161326467955449,0.911294565144751,0.03996056589866492
high_to_low_noise,stable_high_noise,3,early,360,0.8472492272796369,0.9859084166401771,0.03385065616506574
high_to_low_noise,stable_high_noise,3,late,480,0.4870058230175658,0.8577743275596419,0.05318589635096998
high_to_low_noise,stable_high_noise,3,mid,360,0.6523306470362653,0.9256255404246773,0.028436701695857335
high_to_low_noise,stable_high_noise,6,all_post,1170,0.62406689114771,0.9049847250699016,0.05782580739090577
high_to_low_noise,stable_high_noise,6,early,360,0.8753727924814811,0.9860719867667114,0.033763285744335604
high_to_low_noise,stable_high_noise,6,late,450,0.47228359808122045,0.8344733959727465,0.07347505788596942
high_to_low_noise,stable_high_noise,6,mid,360,0.6668146806550294,0.9337535970544092,0.06232676591864638
high_to_low_noise,stable_high_noise,12,all_post,1110,0.590946253514619,0.8275951691128864,0.07665270074907742
high_to_low_noise,stable_high_noise,12,early,360,0.8527852501702435,0.947880713552635,0.027577943804339637
high_to_low_noise,stable_high_noise,12,late,390,0.4373560169499295,0.746455550320745,0.1236355655661782
high_to_low_noise,stable_high_noise,12,mid,360,0.5805384296207996,0.8267234363319608,0.07482935414195596
