direction,matched_control,horizon,seed,mean_excess_adaptive_mse_advantage,transition_adaptive_mse_advantage,control_adaptive_mse_advantage
high_to_low_noise,stable_high_noise,1,0,0.062129474164583996,0.06802368073960696,0.00589420657502297
high_to_low_noise,stable_high_noise,1,1,0.08614840112788744,-0.007659031837361685,-0.09380743296524914
high_to_low_noise,stable_high_noise,1,2,-0.07581365574665025,0.47877800225925304,0.5545916580059034
high_to_low_noise,stable_high_noise,1,3,0.10305029330324234,0.18181636798492368,0.07876607468168136
high_to_low_noise,stable_high_noise,1,4,0.002268965920495991,0.012796329323790318,0.010527363403294337
high_to_low_noise,stable_high_noise,1,5,0.011946533964568318,-0.004829480577121088,-0.01677601454168941
high_to_low_noise,stable_high_noise,1,6,-0.19378903116937427,1.5475967961014758,1.7413858272708502
high_to_low_noise,stable_high_noise,1,7,0.04084851054088895,-0.004209694450908684,-0.04505820499179762
high_to_low_noise,stable_high_noise,1,8,0.018288604549898783,0.05430315587145122,0.036014551321552436
high_to_low_noise,stable_high_noise,1,9,0.07558073498567745,-0.020083371194547266,-0.09566410618022474
high_to_low_noise,stable_high_noise,1,10,0.2322899135379163,-0.015218444379975696,-0.24750835791789197
high_to_low_noise,stable_high_noise,1,11,0.06439356472521071,0.040769061566813695,-0.023624503158397
high_to_low_noise,stable_high_noise,1,12,0.07836682248080758,0.08838913276712881,0.010022310286321223
high_to_low_noise,stable_high_noise,1,13,0.185508612387093,-0.02773138608618316,-0.21323999847327615
high_to_low_noise,stable_high_noise,1,14,0.18883900859020772,1.7953943395449385,1.6065553309547305
high_to_low_noise,stable_high_noise,1,15,0.05402271260727685,-0.002384886101312284,-0.05640759870858912
high_to_low_noise,stable_high_noise,1,16,0.05340758198202111,0.050877939839503575,-0.0025296421425175354
high_to_low_noise,stable_high_noise,1,17,0.17476671669261695,0.0822429240617966,-0.09252379263082035
high_to_low_noise,stable_high_noise,1,18,0.08513875232795232,0.05157228146713202,-0.033566470860820284
high_to_low_noise,stable_high_noise,1,19,0.041904176776017245,0.08393035238607108,0.04202617561005384
high_to_low_noise,stable_high_noise,1,20,-0.018497673775648156,0.010157615294201835,0.028655289069849987
high_to_low_noise,stable_high_noise,1,21,0.11463327414707503,1.362434114104716,1.2478008399576408
high_to_low_noise,stable_high_noise,1,22,-0.03631460633626051,0.006202513783730824,0.042517120119991335
high_to_low_noise,stable_high_noise,1,23,0.13218598657330743,0.0006363981824966343,-0.13154958839081082
high_to_low_noise,stable_high_noise,1,24,0.06452273517374563,0.6512902395706349,0.5867675043968893
high_to_low_noise,stable_high_noise,1,25,0.03445684835318501,0.08838871042734109,0.05393186207415608
high_to_low_noise,stable_high_noise,1,26,0.004377009356559556,0.006556109665785445,0.002179100309225887
high_to_low_noise,stable_high_noise,1,27,0.04706955536255535,0.09030396591209203,0.04323441054953668
high_to_low_noise,stable_high_noise,1,28,0.07145840328785336,0.021668979244499436,-0.049789424043353916
high_to_low_noise,stable_high_noise,1,29,0.046629741594903976,-0.003948953799229724,-0.05057869539413369
high_to_low_noise,stable_high_noise,3,0,0.05793929655138119,0.021368605442725633,-0.03657069110865556
high_to_low_noise,stable_high_noise,3,1,-0.023445458722514946,0.005929553040340427,0.029375011762855376
high_to_low_noise,stable_high_noise,3,2,0.049910290097889734,0.4521367198201978,0.402226429722308
high_to_low_noise,stable_high_noise,3,3,0.09600726760255061,0.5649925958551879,0.46898532825263733
high_to_low_noise,stable_high_noise,3,4,0.027721351127675254,0.01634228499228796,-0.0113790661353873
high_to_low_noise,stable_high_noise,3,5,0.07961583365395228,-0.011916466916405584,-0.09153230057035787
high_to_low_noise,stable_high_noise,3,6,0.07465334094473605,1.1158756678053579,1.041222326860622
high_to_low_noise,stable_high_noise,3,7,0.029539390964513877,-0.02142115711835353,-0.05096054808286741
high_to_low_noise,stable_high_noise,3,8,0.046250034983942485,0.0317041188545829,-0.014545916129359581
high_to_low_noise,stable_high_noise,3,9,0.0340605796797301,0.09140794789883053,0.05734736821910043
high_to_low_noise,stable_high_noise,3,10,0.021297190230169828,-0.01510878352437153,-0.036405973754541354
