transition,horizon,period,n_blocks,adaptive_mse,frozen_local_mse,frozen_all_pre_mse,benchmark_mse,adaptive_rmse_vs_frozen_local,adaptive_rmse_vs_frozen_all_pre,adaptive_relative_rmsfe_vs_no_change,frozen_local_relative_rmsfe_vs_no_change,frozen_all_pre_relative_rmsfe_vs_no_change,mean_adaptive_advantage_vs_frozen_local,mean_adaptive_advantage_vs_frozen_all_pre
high_to_low_roughness,1,all_post,1200,0.32264002643510037,0.35906237879793773,0.31198721134257457,0.5686287749729544,0.9479254216224111,1.0169292196105915,0.753259652885279,0.7946402066061758,0.7407198439766748,0.03642235236283737,-0.010652815092525773
high_to_low_roughness,1,early,360,0.33882985568180085,0.3516196275411206,0.3021962567290286,0.555223992532425,0.9816445971450668,1.0588789020543672,0.7811900859425251,0.7957972653386706,0.7377520549582314,0.012789771859319777,-0.03663359895277219
high_to_low_roughness,1,late,480,0.29762411228644886,0.35218868423744454,0.29636983310992376,0.5938367415873899,0.9192769220084122,1.0021138367766684,0.707946638970709,0.7701124895249254,0.7064533119788488,0.0545645719509957,-0.0012542791765250967
high_to_low_roughness,1,mid,360,0.3398047493866018,0.3756700561354123,0.3426013369329882,0.5484229352609028,0.9510676998892037,0.995910234935868,0.7871489453128394,0.8276476484319042,0.7903814196301819,0.03586530674881051,0.002796587546386414
high_to_low_roughness,3,all_post,1200,0.3083586721874264,0.3589964644558639,0.3107227866887582,0.9395255465151767,0.9267935394180946,0.9961885181985332,0.5728933574288629,0.6181456096344449,0.5750852845251219,0.05063779226843756,0.0023641145013318598
high_to_low_roughness,3,early,360,0.3311932216816943,0.3633203458560808,0.30436768696133315,0.8993912345436262,0.9547636155728846,1.0431372350721326,0.6068290940221245,0.635580455857663,0.5817346688618228,0.032127124174386484,-0.026825534720361144
high_to_low_roughness,3,late,480,0.29297995824331863,0.360132102425262,0.3104074609648387,1.0061558005371227,0.9019615789084947,0.9715225392913062,0.5396178891419156,0.5982714804714099,0.5554352753725601,0.06715214418194335,0.01742750272152008
high_to_low_roughness,3,mid,360,0.3060290746186353,0.3531583990964496,0.3174983207147426,0.8908195197907989,0.9308861628847648,0.9817719690368739,0.5861199206280329,0.629636516254232,0.5970020932691948,0.04712932447781423,0.01146924609610724
high_to_low_roughness,6,all_post,1170,0.33675455180515923,0.39142599389793725,0.3360869709371331,1.958560660868153,0.9275384158490809,1.000992674136418,0.41465625763068714,0.44705022513930637,0.41424504728610706,0.054671442092778015,-0.0006675808680261093
high_to_low_roughness,6,early,360,0.38105626604307097,0.4141289871693766,0.3397427470417474,1.8340715808854713,0.95923880337593,1.0590572966329872,0.45581269112680944,0.47518166438078757,0.4303947412250065,0.03307272112630559,-0.041313519001323636
high_to_low_roughness,6,late,450,0.301890257187927,0.3793667585619778,0.33163210879506044,2.1212026892375815,0.8920617372289273,0.9541051991500434,0.3772536620126579,0.4229008444914888,0.3954004886974006,0.07747650137405075,0.029741851607133434
high_to_low_roughness,6,mid,360,0.3360332058387877,0.3837970447964472,0.3379997725101097,1.8797472053890487,0.9357078747396822,0.9970866318902962,0.42280622585812894,0.45185707769719835,0.4240416151769728,0.047763838957659524,0.0019665666713219983
high_to_low_roughness,12,all_post,1110,0.43286380815524267,0.5233574524532804,0.41657284444167614,5.735961950911624,0.9094449831229383,1.019366037688678,0.27470875903099745,0.30206198739771645,0.26948980922875865,0.09049364429803769,-0.016290963713566493
high_to_low_roughness,12,early,360,0.5847660029226508,0.5789339513156202,0.4443491341642033,5.355777642618109,1.0050242669431715,1.1471729257364527,0.3304302423174288,0.32877837201130267,0.2880387384537531,-0.005832051607030679,-0.1404168687584475
high_to_low_roughness,12,late,390,0.33058560197984604,0.4939924148024342,0.3905297232114784,6.221402664096753,0.8180537262039085,0.9200573955187723,0.2305142680852584,0.28178377617682326,0.25054335654275506,0.16340681282258812,0.059944121231632265
high_to_low_roughness,12,mid,360,0.39176300341118075,0.4995930777126905,0.41700993605186326,5.59025215325458,0.8855304594409756,0.9692560237651842,0.2647256427668889,0.2989458351709403,0.27312251487334827,0.10783007430150975,0.025246932640682524
