direction,matched_control,horizon,seed,mean_excess_advantage_vs_frozen_local,mean_excess_advantage_vs_frozen_all_pre
high_to_low_roughness,stable_high_roughness,1,0,-0.10343227531417072,-0.049573889784972854
high_to_low_roughness,stable_high_roughness,1,1,0.00730833369927972,5.844129088934322e-05
high_to_low_roughness,stable_high_roughness,1,2,-0.39108257887912845,-0.05184478127185775
high_to_low_roughness,stable_high_roughness,1,3,-0.1506041005745336,-0.12508450569652566
high_to_low_roughness,stable_high_roughness,1,4,0.017256293954260253,0.018009879099833405
high_to_low_roughness,stable_high_roughness,1,5,0.02607630041996923,0.08497609129784833
high_to_low_roughness,stable_high_roughness,1,6,-0.9803471503491284,-0.25673974820724244
high_to_low_roughness,stable_high_roughness,1,7,-0.011480785732544154,-0.14546509599318552
high_to_low_roughness,stable_high_roughness,1,8,0.02072258157837919,0.021011751569001737
high_to_low_roughness,stable_high_roughness,1,9,-0.04387130741262161,-0.04314332334815344
high_to_low_roughness,stable_high_roughness,1,10,-0.015922630205039475,-0.020891697074253285
high_to_low_roughness,stable_high_roughness,1,11,-0.10446140798918968,0.026504789970237773
high_to_low_roughness,stable_high_roughness,1,12,-0.0335580647066264,-0.03305526800464707
high_to_low_roughness,stable_high_roughness,1,13,0.15475300087198376,0.08508482807908758
high_to_low_roughness,stable_high_roughness,1,14,-18.803589785255703,0.015510393126940691
high_to_low_roughness,stable_high_roughness,1,15,0.022216338664946527,0.015054646737168595
high_to_low_roughness,stable_high_roughness,1,16,0.03525092391770943,0.04470559142487627
high_to_low_roughness,stable_high_roughness,1,17,-0.06418363333517198,-0.03720262779171071
high_to_low_roughness,stable_high_roughness,1,18,0.08402023309132707,0.07000995360168649
high_to_low_roughness,stable_high_roughness,1,19,-0.029194433693445366,7.130589658750768e-05
high_to_low_roughness,stable_high_roughness,1,20,0.02247523075016556,0.040433200504092846
high_to_low_roughness,stable_high_roughness,1,21,-0.7330614417494716,0.036859139634690875
high_to_low_roughness,stable_high_roughness,1,22,-0.02018538625383478,-0.00800089411054664
high_to_low_roughness,stable_high_roughness,1,23,0.04113247213067896,0.0414962993370726
high_to_low_roughness,stable_high_roughness,1,24,-0.015545855606514475,-0.007707348219688886
high_to_low_roughness,stable_high_roughness,1,25,0.003999210083634919,-0.0013590674376694368
high_to_low_roughness,stable_high_roughness,1,26,-0.01277613237791653,0.009623553238659308
high_to_low_roughness,stable_high_roughness,1,27,-0.09794758326239983,-0.04259839910535622
high_to_low_roughness,stable_high_roughness,1,28,0.06659113923958829,0.06706321639279862
high_to_low_roughness,stable_high_roughness,1,29,-0.008072874143521156,-0.005168413726017895
high_to_low_roughness,stable_high_roughness,3,0,-0.0014634628983173422,0.02182021486725847
high_to_low_roughness,stable_high_roughness,3,1,0.04477563223325094,0.0390288482972307
high_to_low_roughness,stable_high_roughness,3,2,-0.9287448725040482,-0.05650026740988846
high_to_low_roughness,stable_high_roughness,3,3,-0.6332051560539121,-0.06157637783000778
high_to_low_roughness,stable_high_roughness,3,4,0.06130631966382567,0.05369492245441313
high_to_low_roughness,stable_high_roughness,3,5,0.04764265237754422,0.060251631930376345
high_to_low_roughness,stable_high_roughness,3,6,-0.027211102113762466,-0.01634167135650214
high_to_low_roughness,stable_high_roughness,3,7,0.09804285480684487,-0.05358975306180469
high_to_low_roughness,stable_high_roughness,3,8,0.02842183026488167,0.03281361233494006
high_to_low_roughness,stable_high_roughness,3,9,-0.013036803523153442,0.036077747249515256
