transition,horizon,seed,adaptive_rmse_vs_frozen_local,adaptive_rmse_vs_frozen_all_pre,adaptive_advantage_vs_frozen_local,adaptive_advantage_vs_frozen_all_pre
high_to_low_roughness,1,0,1.0663877163011781,1.0566505344903587,-0.050357283072579806,-0.04356069273714652
high_to_low_roughness,1,1,1.0637441589416403,1.028189164178674,-0.04586639841812762,-0.02133621482781284
high_to_low_roughness,1,2,0.9401629067528359,1.0714225413958038,0.032289788386100804,-0.031684377385774426
high_to_low_roughness,1,3,1.0576823393276207,1.065900056290119,-0.03719203973185614,-0.04200504267379407
high_to_low_roughness,1,4,0.9818096629159025,0.9683148353200359,0.010170422663537126,0.018088738502908763
high_to_low_roughness,1,5,1.0153939258645357,0.9823768216784051,-0.010703125483901788,0.012876108748699322
high_to_low_roughness,1,6,0.7722420873797866,0.9611496067483021,0.29151061974403014,0.03552130839222106
high_to_low_roughness,1,7,0.990942004823709,0.9621544828718369,0.004816362646086592,0.02103696026028945
high_to_low_roughness,1,8,0.9943489835639311,0.9940074381210712,0.0030952063373688166,0.003283973019356623
high_to_low_roughness,1,9,1.0344700930192279,0.995905947980964,-0.022212019765297575,0.002792459875307185
high_to_low_roughness,1,10,1.0412340114094703,1.049678026686214,-0.03868248431934124,-0.0460469041139161
high_to_low_roughness,1,11,1.072530444143382,0.9941075336868993,-0.02940852570190533,0.00267577879225106
high_to_low_roughness,1,12,0.9971637978105429,0.9968357033827427,0.001535906829256195,0.0017144284122392328
high_to_low_roughness,1,13,1.0292645660274145,0.9556518502170979,-0.019964548847716257,0.03382208860039365
high_to_low_roughness,1,14,0.5710637733794811,1.0340962442318027,0.6638432023117695,-0.02083551847171572
high_to_low_roughness,1,15,1.062535258238681,1.0663835053099562,-0.04158145527419671,-0.04390402390114784
high_to_low_roughness,1,16,0.9965262626030214,0.9978805066890334,0.0016946007691477083,0.0010318518972192992
high_to_low_roughness,1,17,1.1014446111026976,1.1037226449398174,-0.055287082881378846,-0.056356528108152615
high_to_low_roughness,1,18,1.0199762862204051,1.0309533966125335,-0.011446662635143101,-0.01745533598292709
high_to_low_roughness,1,19,1.0529639525588437,1.0596979912334912,-0.042912047983016066,-0.04791192041182646
high_to_low_roughness,1,20,1.0053895250384366,1.0374113482349048,-0.0031785304766556166,-0.02105357965038185
high_to_low_roughness,1,21,0.7207393540817952,0.9854419225396505,0.3483571543505896,0.011208707154943431
high_to_low_roughness,1,22,0.8541719729165276,0.8900067677209565,0.07674218547225084,0.05434711450351107
high_to_low_roughness,1,23,1.0168328096965111,1.0139757598497356,-0.011877110420409065,-0.009902797707769029
high_to_low_roughness,1,24,0.9999767347879223,0.9696885943753337,1.691820709670555e-05,0.02308560395743381
high_to_low_roughness,1,25,0.8040387332557254,1.081929768288578,0.16766568245273383,-0.04467779053338522
high_to_low_roughness,1,26,1.153568806273545,1.1576209305705554,-0.06221856563033587,-0.06353331766722992
high_to_low_roughness,1,27,1.0533127010964016,1.0567597732264933,-0.02002934963696623,-0.021221075226317915
high_to_low_roughness,1,28,0.948199357697455,0.9433325742060862,0.03594162463546552,0.0396259264874651
high_to_low_roughness,1,29,1.070816698462754,1.0843475365498094,-0.042091873641485034,-0.04921038198071448
high_to_low_roughness,3,0,1.0091208056204257,0.9999401064785808,-0.004742149843484922,3.156975448054267e-05
high_to_low_roughness,3,1,0.9832482577171989,0.9882677489308483,0.012756458363562928,0.00886597276930079
high_to_low_roughness,3,2,0.8427957559149745,1.0863387621311413,0.12752291929190634,-0.04772561665786307
high_to_low_roughness,3,3,0.7372253412569578,1.0495165360478218,0.27370572512553665,-0.030023952652956154
high_to_low_roughness,3,4,0.9200081805660364,0.9512777791821293,0.05183869878377967,0.0300137517323274
high_to_low_roughness,3,5,0.9726386218110559,0.9428315278525584,0.020413458816286922,0.044705159865840394
high_to_low_roughness,3,6,1.0631532332860911,1.051470816856732,-0.04252801146170948,-0.035234789948032696
high_to_low_roughness,3,7,1.0147130145883747,1.0576004047038874,-0.009120784592431763,-0.03356967661500604
high_to_low_roughness,3,8,0.9633815801316042,0.9626134203961679,0.018945115606290752,0.01936583818304277
high_to_low_roughness,3,9,1.0030765421119594,0.9739543951925395,-0.001850730441150028,0.016377410150328287
high_to_low_roughness,3,10,0.8897293978359819,1.007857403015724,0.09979322221732251,-0.005888047112410311
high_to_low_roughness,3,11,1.0168980669359373,0.9871328711552659,-0.009775229499859206,0.007782482619286157
high_to_low_roughness,3,12,0.9804675077211412,0.9856992441634786,0.011241844909973042,0.008165113643321564
high_to_low_roughness,3,13,0.9927610297779746,1.015191879507605,0.00564333826195329,-0.011453155414048843
high_to_low_roughness,3,14,0.5863426280091733,1.0983311368038193,0.7565274289140591,-0.06779354552326078
high_to_low_roughness,3,15,1.0084325765318436,1.0029530545455483,-0.005068242751598784,-0.0017894296185430036
high_to_low_roughness,3,16,0.9980611204385142,1.0182040788948445,0.0009696133480515678,-0.008835220311000619
high_to_low_roughness,3,17,0.995542931001333,1.020301648782775,0.002458349760957379,-0.010793034785933242
high_to_low_roughness,3,18,0.9784405919259238,0.9981338895500138,0.015665081070785736,0.0013159095878236826
high_to_low_roughness,3,19,1.0128841098635284,1.018653943723258,-0.008467014792284844,-0.01215502449960093
high_to_low_roughness,3,20,0.9883882874436122,0.9870210595110915,0.007311667798858057,0.0081896064459408
high_to_low_roughness,3,21,0.9220379162164725,0.962442990809965,0.058492665404274224,0.026405330359293433
high_to_low_roughness,3,22,0.9420535885376697,0.9322008745511722,0.03832480989515735,0.04556179487604517
high_to_low_roughness,3,23,0.9526321884700314,0.9402568581795391,0.02634286090883703,0.033889404965940007
high_to_low_roughness,3,24,0.9972446775405206,0.9821019646391018,0.001636722885492492,0.010879103249691602
high_to_low_roughness,3,25,0.931679021594871,0.9581714729108507,0.04110883348321015,0.024122125029815367
high_to_low_roughness,3,26,1.0124503452778653,1.0080012265110014,-0.00759812695022688,-0.004915252807783876
high_to_low_roughness,3,27,1.0102359457177599,1.0164396252284438,-0.004917135973508624,-0.007825224485712018
high_to_low_roughness,3,28,0.9406210961902794,0.9312033405276958,0.03653508102804226,0.04298064067564433
high_to_low_roughness,3,29,0.9881383703007726,0.96133492100482,0.00596729848504382,0.02027419156398505
high_to_low_roughness,6,0,1.0273296641968823,1.009463921362953,-0.014382795351304434,-0.0051129791335606245
high_to_low_roughness,6,1,1.022682368068673,1.0282670061786883,-0.01786430803166572,-0.02208232469052057
high_to_low_roughness,6,2,0.8135149437382662,1.1115223291836918,0.19121418711749721,-0.07131931013471093
high_to_low_roughness,6,3,1.0804570036385093,1.0801378870598215,-0.054298342847014236,-0.05410664012104871
high_to_low_roughness,6,4,0.9464389256113418,0.9556207473674788,0.03346688313720514,0.027327749865793116
high_to_low_roughness,6,5,0.9763156711911694,0.9326681393308278,0.018727113023238873,0.05705025331682817
high_to_low_roughness,6,6,0.7853899250578056,1.1016206918470985,0.3194211421155496,-0.0904947610421164
high_to_low_roughness,6,7,1.0506392697780835,1.079941527095028,-0.03402439898999515,-0.05156370322505166
high_to_low_roughness,6,8,0.9471950297418635,0.9362833174371703,0.028673702360228537,0.03521160556496988
high_to_low_roughness,6,9,1.0063481832260384,0.9395822825556612,-0.004114760913366933,0.043429843843739435
high_to_low_roughness,6,10,0.9143238883890146,1.0916557607178528,0.09671902525885168,-0.07930771423938299
high_to_low_roughness,6,11,1.016764208120075,0.993247529638556,-0.009946508485460581,0.004149367702922735
high_to_low_roughness,6,12,0.9837242834342436,0.9939992396211431,0.009914883300279398,0.0035989194976615013
high_to_low_roughness,6,13,0.9934901711835737,1.023695713439946,0.005287676987759171,-0.018402703598415115
high_to_low_roughness,6,14,0.6027555141730419,1.1009564481140006,0.7453379408424873,-0.07442541927401797
high_to_low_roughness,6,15,1.0227609083535472,1.0166083250255422,-0.014810748118405881,-0.010905137904496931
high_to_low_roughness,6,16,1.0304319121390029,1.0241703295494755,-0.013653752210888992,-0.010943549123116958
high_to_low_roughness,6,17,1.0111387907311773,1.0337180568548783,-0.006572731409111965,-0.019250252020556247
high_to_low_roughness,6,18,0.8960230633275567,0.9458113661316214,0.09192727480625151,0.04412675678559169
high_to_low_roughness,6,19,1.0121948568102759,1.0092874571566042,-0.008921000735521267,-0.0068234534334648544
high_to_low_roughness,6,20,0.988679508258484,1.005552629662878,0.008252971289419875,-0.0039465214627245615
high_to_low_roughness,6,21,0.9605504033212284,0.999923173039655,0.027582031112385108,5.056379697426783e-05
high_to_low_roughness,6,22,0.8938162884156131,0.8847669978387163,0.08086067413889214,0.08912814207609376
high_to_low_roughness,6,23,0.9297439319036465,0.9181008769754132,0.04263657112106578,0.050663517880209674
high_to_low_roughness,6,24,1.0018405104046348,0.980130226181379,-0.0011868585201533777,0.013241814218500514
high_to_low_roughness,6,25,0.9325408176744774,0.9481954423652381,0.04197182336801547,0.03142885462160616
high_to_low_roughness,6,26,0.9914931953114158,0.9831040513421128,0.005404087318039985,0.01087140452787938
high_to_low_roughness,6,27,1.0394416525466856,1.0421414863742406,-0.019572145099446908,-0.02083121390751569
high_to_low_roughness,6,28,0.8816725357349259,0.8749403709699931,0.08528900347321589,0.0912064907139562
high_to_low_roughness,6,29,0.986590425063673,0.9656502784928674,0.006804622725292669,0.018002972857190463
high_to_low_roughness,12,0,0.9983486057321321,0.998842215598486,0.0009402481007104724,0.0006587146166439073
high_to_low_roughness,12,1,1.0293833743013296,1.0372251847891965,-0.024855810623793273,-0.03113481268355861
high_to_low_roughness,12,2,0.9149210032003321,1.1652982371177252,0.1145193539051782,-0.1550902966118246
high_to_low_roughness,12,3,0.6584326398614574,1.1686235114447359,0.7268436662163925,-0.1489507057601096
high_to_low_roughness,12,4,0.9920744111344707,1.006083298923531,0.00510635992579439,-0.003837806398741206
high_to_low_roughness,12,5,0.9080364899738413,0.8110037290996175,0.09110311626410245,0.22277399732569164
high_to_low_roughness,12,6,0.8792374895129728,1.5127084315124013,0.38438454489743523,-0.7371682358133067
high_to_low_roughness,12,7,1.1487755605154286,1.1496611480984116,-0.13832726159541986,-0.1389936224651484
high_to_low_roughness,12,8,0.8861876231092259,0.9019187684064776,0.07350252357712866,0.061662659546480814
high_to_low_roughness,12,9,0.9624322722647682,0.911296916568465,0.02685682117841176,0.06888623222634532
high_to_low_roughness,12,10,1.0864024744426417,1.1487908124892534,-0.10237370359589182,-0.1623805411822784
high_to_low_roughness,12,11,0.9763912945070841,1.038137784148818,0.015496190536553656,-0.022835295649215104
high_to_low_roughness,12,12,1.0198782545696266,1.0283673609369604,-0.014172434459298278,-0.01997591397863946
high_to_low_roughness,12,13,0.9292402339057664,0.9350550995270622,0.08068606563048808,0.07335772193651335
high_to_low_roughness,12,14,0.7005425394045158,1.1959945447394618,0.6287798783610583,-0.18233156729920058
high_to_low_roughness,12,15,0.9966754821644132,1.0001206213639915,0.0029209656134935313,-0.00010543225622705599
high_to_low_roughness,12,16,1.0424964101296907,1.0592707182798693,-0.02165745250869794,-0.029497326856813277
high_to_low_roughness,12,17,1.0330165912607747,1.0226365074573533,-0.02200720009831303,-0.015317606452033505
high_to_low_roughness,12,18,0.9300788744458491,0.8679678888096309,0.06098096410046555,0.12796524588844682
high_to_low_roughness,12,19,1.0325313207345574,1.0263193314530492,-0.02774828564207188,-0.022652774707754175
high_to_low_roughness,12,20,1.0001053338439099,1.076063021804777,-0.0001152566284158274,-0.07462344426236278
high_to_low_roughness,12,21,0.8905235155031351,0.965040241682326,0.09344096404723412,0.026410352093580336
high_to_low_roughness,12,22,0.700893501381054,0.757274525367682,0.39759633291527663,0.28555629814094385
high_to_low_roughness,12,23,0.9020737002042902,0.8895737542545886,0.07087503963923808,0.08164374263443108
high_to_low_roughness,12,24,1.0067534530564113,0.9560465805068012,-0.0048084381914971774,0.03382549377485489
high_to_low_roughness,12,25,0.8436218907367279,0.884134508073948,0.12948854735654208,0.08927062108401501
high_to_low_roughness,12,26,0.985486706973868,0.9791610764679543,0.010713389882132551,0.015532581591543193
high_to_low_roughness,12,27,1.0519460779056464,1.051292479714205,-0.028477637789803556,-0.02814533229960281
high_to_low_roughness,12,28,0.8068449529923133,0.8089898338082737,0.1787372892702741,0.1760252110557433
high_to_low_roughness,12,29,0.9873524671357792,0.9605531294031067,0.006380548656422957,0.020742931354588046
low_to_high_roughness,1,0,0.7514249166549786,0.736907385053164,0.3025241298106645,0.33017302438463764
low_to_high_roughness,1,1,1.0533928872994838,1.0407002557446001,-0.03820278550960626,-0.02965141121952547
low_to_high_roughness,1,2,0.35615334716247493,0.9357860562966629,1.8812695487563675,0.038794253975467985
low_to_high_roughness,1,3,0.4979117820846754,0.4309652626958534,1.2437827400837447,1.7974896711150647
low_to_high_roughness,1,4,1.0069036815527692,0.7321281334491789,-0.0045738539697343095,0.2897235514272783
low_to_high_roughness,1,5,1.0097481123983987,1.0680512781484242,-0.009543387889273725,-0.06127451747490009
low_to_high_roughness,1,6,0.9173288644153275,0.6422187542758088,0.08551276244337097,0.6467153253547908
low_to_high_roughness,1,7,0.9792647090981541,0.9792647090981541,0.01365739047475456,0.01365739047475456
low_to_high_roughness,1,8,0.8404690532837874,0.7887391780595049,0.13039946497357374,0.1905657985351107
low_to_high_roughness,1,9,0.9757009107725754,0.8025496993600648,0.019641915485081318,0.21523219626170897
low_to_high_roughness,1,10,1.07215027785156,1.0779407346301257,-0.0715669625349799,-0.07669596879461282
low_to_high_roughness,1,11,0.7901133787175363,0.7901133787175363,0.16112823594279924,0.16112823594279924
low_to_high_roughness,1,12,0.6410578694878883,0.845157972765093,0.42288047302574294,0.11800771148971767
low_to_high_roughness,1,13,0.9021574301469167,0.9157048339820831,0.10641019522563833,0.08961771023936904
low_to_high_roughness,1,14,0.4764950273357511,0.7519835792039417,1.3757480031443814,0.3105250135591587
low_to_high_roughness,1,15,1.0369826466067398,1.009364152099113,-0.02590235447321121,-0.006828546312310058
low_to_high_roughness,1,16,0.7579605871115125,0.6941056175483641,0.21350485933966434,0.3100749280787918
low_to_high_roughness,1,17,0.680307163058788,0.819202186624646,0.39558006781067384,0.16703783063156546
low_to_high_roughness,1,18,0.41443249653016334,0.726182503551387,1.5277625104670185,0.2839622467324662
low_to_high_roughness,1,19,1.0176980237437911,1.0780805162850924,-0.01637687306803992,-0.06631176010816908
low_to_high_roughness,1,20,1.0324342708680185,1.085027311214545,-0.021104132269345044,-0.051387859703654615
low_to_high_roughness,1,21,0.25901263887638043,0.5648630035307386,6.2473102208377025,0.958760572156783
low_to_high_roughness,1,22,0.9768769200627879,0.983279084418643,0.01070168193222415,0.007662962652937699
low_to_high_roughness,1,23,0.9278955650841187,0.9688209133985275,0.061994936576171056,0.0251125912662149
low_to_high_roughness,1,24,0.3067244301202081,1.0140936313912898,3.8700854143788987,-0.011093634005063746
low_to_high_roughness,1,25,0.9595078150905262,0.8958662027992734,0.02791793406363241,0.07968474415935617
low_to_high_roughness,1,26,0.8391151997784123,0.8391168411334334,0.11303327145468711,0.11303177696814182
low_to_high_roughness,1,27,0.6342121253685234,0.8728634398910242,0.4730397431724074,0.09947476924967896
low_to_high_roughness,1,28,0.5693311909657275,1.078909443130487,0.8576248459794312,-0.057964733729750195
low_to_high_roughness,1,29,1.0664982182421199,1.0665183082437915,-0.043144869039096145,-0.04315669732120303
low_to_high_roughness,3,0,0.9303900574272145,0.9303466604963497,0.051966611135087215,0.0520026907909637
low_to_high_roughness,3,1,1.000065092158835,0.9749166359926629,-6.116587016230524e-05,0.024490208116321632
low_to_high_roughness,3,2,0.4052899631410001,0.4053590052543177,1.7941935082102034,1.7934622591381155
low_to_high_roughness,3,3,0.5323085392843702,0.48013104218182623,1.0015290308634146,1.321780158291426
low_to_high_roughness,3,4,0.9354119336495536,0.9680044008445835,0.05183488824311738,0.024381697043319495
low_to_high_roughness,3,5,0.9952971729782648,1.0291412690151107,0.004556785028328458,-0.026857664565231754
low_to_high_roughness,3,6,0.40957314217553387,0.9562842415015219,2.064400738852129,0.03891340205032723
low_to_high_roughness,3,7,1.0592499460724445,0.985782097442326,-0.04163265915639014,0.011123444708654173
low_to_high_roughness,3,8,0.6296478352295573,0.7511559478552436,0.44056539295617786,0.22350591683275872
low_to_high_roughness,3,9,0.7571968640379427,0.9219945890882232,0.30488443914722807,0.07226005807861202
low_to_high_roughness,3,10,1.0395622400302937,0.984781347520169,-0.03298681548642407,0.013760454822386137
low_to_high_roughness,3,11,0.8602200425595405,0.8869202125505768,0.14449819429523025,0.11154284731314523
low_to_high_roughness,3,12,0.8291804220548477,0.8291803391926388,0.1419132098536786,0.1419133006286586
