direction,matched_control,seed,horizon,relative_origin,period,transition_adaptive_mse,transition_frozen_mse,transition_adaptive_mse_advantage,control_adaptive_mse,control_frozen_mse,control_adaptive_mse_advantage,excess_adaptive_mse_advantage
low_to_high,stable_low,0,1,0,early,1.2352559341981293,1.2352559341981293,0.0,0.29269623155978675,0.29269623155978675,0.0,0.0
low_to_high,stable_low,0,1,3,early,0.296942094053267,0.03249435124024848,-0.2644477428130185,0.07242485148539358,0.03858833361549088,-0.0338365178699027,-0.2306112249431158
low_to_high,stable_low,0,1,6,early,0.00024992769053111405,0.03284721528510958,0.032597287594578465,0.3450901796838033,0.26981781172936364,-0.07527236795443965,0.10786965554901812
low_to_high,stable_low,0,1,9,early,0.44301176965995387,0.21466052442415326,-0.2283512452358006,0.695212558362819,0.718750689796587,0.023538131433767928,-0.25188937666956857
low_to_high,stable_low,0,1,12,early,0.023229235272531262,0.06937721310575785,0.04614797783322659,0.005306418994366688,0.015399309952847096,0.010092890958480408,0.036055086874746185
low_to_high,stable_low,0,1,15,early,0.18949363009273698,0.22850092147614617,0.03900729138340919,0.29595127708709823,0.3276134835277415,0.03166220644064327,0.007345084942765923
low_to_high,stable_low,0,1,18,early,0.10954311074919729,0.025443043768930196,-0.08410006698026709,0.08740480870929962,0.12580236662819239,0.038397557918892766,-0.12249762489915986
low_to_high,stable_low,0,1,21,early,0.2882010109086684,0.16300887484301793,-0.12519213606565047,0.3158602050033366,0.3816203781057148,0.0657601731023782,-0.19095230916802866
low_to_high,stable_low,0,1,24,early,0.04484672550609725,0.15909456619785523,0.11424784069175797,0.3083739200334635,0.22564531284014308,-0.0827286071933204,0.19697644788507837
low_to_high,stable_low,0,1,27,early,0.0023951629317040626,0.0026257329459830328,0.0002305700142789702,0.06865851709854146,0.04517696716908305,-0.023481549929458403,0.023712119943737373
low_to_high,stable_low,0,1,30,early,0.04888103148747612,0.01843215972063877,-0.03044887176683735,0.4942362390634031,0.4582213339243251,-0.03601490513907796,0.005566033372240608
low_to_high,stable_low,0,1,33,early,0.011626176935456414,0.13725510985357853,0.1256289329181221,0.16184455155119454,0.23867680511920938,0.07683225356801485,0.04879667935010726
low_to_high,stable_low,0,1,36,mid,0.043108589196453474,0.07157349190595806,0.028464902709504587,0.3463904236397391,0.4585148183077734,0.11212439466803431,-0.08365949195852973
low_to_high,stable_low,0,1,39,mid,0.308316987411479,0.005366821204336697,-0.3029501662071423,1.047806274428886,1.3836450136066072,0.3358387391777211,-0.6387889053848634
low_to_high,stable_low,0,1,42,mid,0.041327964336802823,0.1263899945738596,0.08506203023705677,0.17907485701800138,0.2478788364712309,0.06880397945322952,0.01625805078382725
low_to_high,stable_low,0,1,45,mid,0.10145809872990079,0.034945108850657096,-0.0665129898792437,0.36995098265018,0.15041372090029856,-0.21953726174988145,0.15302427187063775
low_to_high,stable_low,0,1,48,mid,0.07454692771604539,0.08631558351054343,0.01176865579449804,0.018590047234397566,0.008572020613441547,-0.010018026620956019,0.021786682415454058
low_to_high,stable_low,0,1,51,mid,0.043240422790337046,0.2210498701780918,0.17780944738775475,0.021787311061318006,0.0341066525215617,0.012319341460243691,0.16549010592751107
low_to_high,stable_low,0,1,54,mid,0.22118941876061837,0.22523697059161862,0.004047551831000251,0.5211338671031587,0.5855209191710992,0.06438705206794049,-0.060339500236940236
