direction,horizon,threshold,consecutive_origins_required,adaptation_delay_observations,achieved,mean_abs_reference_smoothness_shift_post,late_order_match_target_share,late_window_match_target_share,late_discrete_config_match_target_share
high_to_low_roughness,1,0.5,3,45.0,True,0.03837367479623673,0.7729166666666667,0.7395833333333334,0.6770833333333333
high_to_low_roughness,1,0.8,3,75.0,True,0.03837367479623673,0.7729166666666667,0.7395833333333334,0.6770833333333333
high_to_low_roughness,3,0.5,3,51.0,True,0.028168252191572152,0.8645833333333334,0.7083333333333334,0.6812499999999999
high_to_low_roughness,3,0.8,3,63.0,True,0.028168252191572152,0.8645833333333334,0.7083333333333334,0.6812499999999999
high_to_low_roughness,6,0.5,3,42.0,True,0.03308004657668464,0.8355555555555558,0.6888888888888889,0.6466666666666666
high_to_low_roughness,6,0.8,3,42.0,True,0.03308004657668464,0.8355555555555558,0.6888888888888889,0.6466666666666666
high_to_low_roughness,12,0.5,3,21.0,True,0.030069559428924874,0.817948717948718,0.6871794871794871,0.6102564102564101
high_to_low_roughness,12,0.8,3,21.0,True,0.030069559428924874,0.817948717948718,0.6871794871794871,0.6102564102564101
low_to_high_roughness,1,0.5,3,39.0,True,0.03837367479623673,0.7958333333333334,0.8208333333333334,0.7520833333333333
low_to_high_roughness,1,0.8,3,51.0,True,0.03837367479623673,0.7958333333333334,0.8208333333333334,0.7520833333333333
low_to_high_roughness,3,0.5,3,6.0,True,0.028168252191572152,0.7666666666666667,0.7854166666666667,0.71875
low_to_high_roughness,3,0.8,3,18.0,True,0.028168252191572152,0.7666666666666667,0.7854166666666667,0.71875
low_to_high_roughness,6,0.5,3,18.0,True,0.03308004657668464,0.7488888888888889,0.7622222222222224,0.6644444444444445
low_to_high_roughness,6,0.8,3,42.0,True,0.03308004657668464,0.7488888888888889,0.7622222222222224,0.6644444444444445
low_to_high_roughness,12,0.5,3,57.0,True,0.030069559428924874,0.7000000000000001,0.7230769230769231,0.617948717948718
low_to_high_roughness,12,0.8,3,75.0,True,0.030069559428924874,0.7000000000000001,0.7230769230769231,0.617948717948718
