transition,horizon,seed,adaptive_mse,frozen_mse,adaptive_rmse_vs_frozen,adaptive_mse_advantage_vs_frozen
high_to_low_roughness,1,0,0.4174389960372237,0.36708171296464387,1.0663877163011781,-0.050357283072579806
high_to_low_roughness,1,1,0.3945233967152909,0.3486569982971633,1.0637441589416403,-0.04586639841812762
high_to_low_roughness,1,2,0.24584576890898263,0.27813555729508344,0.9401629067528359,0.032289788386100804
high_to_low_roughness,1,3,0.3505413924792262,0.3133493527473701,1.0576823393276207,-0.03719203973185614
high_to_low_roughness,1,4,0.27195116104188727,0.2821215837054244,0.9818096629159025,0.010170422663537126
high_to_low_roughness,1,5,0.35568897450649184,0.34498584902259005,1.0153939258645357,-0.010703125483901788
high_to_low_roughness,1,6,0.4306900067769295,0.7222006265209596,0.7722420873797866,0.29151061974403014
high_to_low_roughness,1,7,0.26225571503529255,0.26707207768137914,0.990942004823709,0.004816362646086592
high_to_low_roughness,1,8,0.2715435851096933,0.2746387914470621,0.9943489835639311,0.0030952063373688166
high_to_low_roughness,1,9,0.3389457283037453,0.31673370853844773,1.0344700930192279,-0.022212019765297575
high_to_low_roughness,1,10,0.49826762157595467,0.45958513725661343,1.0412340114094703,-0.03868248431934124
high_to_low_roughness,1,11,0.225045977516321,0.19563745181441566,1.072530444143382,-0.02940852570190533
high_to_low_roughness,1,12,0.2696168338394248,0.271152740668681,0.9971637978105429,0.001535906829256195
high_to_low_roughness,1,13,0.35614986491784245,0.3361853160701262,1.0292645660274145,-0.019964548847716257
high_to_low_roughness,1,14,0.3212537399945273,0.9850969423062969,0.5710637733794811,0.6638432023117695
high_to_low_roughness,1,15,0.3639653634227079,0.3223839081485112,1.062535258238681,-0.04158145527419671
high_to_low_roughness,1,16,0.24264585954818108,0.24434046031732878,0.9965262626030214,0.0016946007691477083
high_to_low_roughness,1,17,0.31463140640136056,0.2593443235199817,1.1014446111026976,-0.055287082881378846
high_to_low_roughness,1,18,0.29511957024677876,0.28367290761163566,1.0199762862204051,-0.011446662635143101
high_to_low_roughness,1,19,0.4375669759633521,0.394654927980336,1.0529639525588437,-0.042912047983016066
high_to_low_roughness,1,20,0.29726642216459664,0.294087891687941,1.0053895250384366,-0.0031785304766556166
high_to_low_roughness,1,21,0.37657924219793354,0.7249363965485232,0.7207393540817952,0.3483571543505896
high_to_low_roughness,1,22,0.20707791571982623,0.28382010119207707,0.8541719729165276,0.07674218547225084
high_to_low_roughness,1,23,0.361729047401083,0.34985193698067396,1.0168328096965111,-0.011877110420409065
high_to_low_roughness,1,24,0.36358182839607034,0.36359874660316704,0.9999767347879223,1.691820709670555e-05
high_to_low_roughness,1,25,0.3066069722026997,0.47427265465543356,0.8040387332557254,0.16766568245273383
high_to_low_roughness,1,26,0.2503486431269138,0.18813007749657792,1.153568806273545,-0.06221856563033587
high_to_low_roughness,1,27,0.20299984654271178,0.18297049690574554,1.0533127010964016,-0.02002934963696623
high_to_low_roughness,1,28,0.3202052713451175,0.356146895980583,0.948199357697455,0.03594162463546552
high_to_low_roughness,1,29,0.329117665614844,0.287025791973359,1.070816698462754,-0.042091873641485034
high_to_low_roughness,3,0,0.2635253156368014,0.2587831657933165,1.0091208056204257,-0.004742149843484922
high_to_low_roughness,3,1,0.3712097909114255,0.3839662492749884,0.9832482577171989,0.012756458363562928
high_to_low_roughness,3,2,0.3126737743100909,0.44019669360199726,0.8427957559149745,0.12752291929190634
high_to_low_roughness,3,3,0.3258702812052398,0.5995760063307765,0.7372253412569578,0.27370572512553665
high_to_low_roughness,3,4,0.2856859060875384,0.3375246048713181,0.9200081805660364,0.05183869878377967
high_to_low_roughness,3,5,0.35779487664973814,0.37820833546602506,0.9726386218110559,0.020413458816286922
high_to_low_roughness,3,6,0.3689263964710293,0.32639838500931984,1.0631532332860911,-0.04252801146170948
high_to_low_roughness,3,7,0.31681359001471926,0.3076928054222875,1.0147130145883747,-0.009120784592431763
high_to_low_roughness,3,8,0.24456236424892736,0.2635074798552181,0.9633815801316042,0.018945115606290752
high_to_low_roughness,3,9,0.302169695930513,0.300318965489363,1.0030765421119594,-0.001850730441150028
high_to_low_roughness,3,10,0.3791032968377417,0.4788965190550642,0.8897293978359819,0.09979322221732251
high_to_low_roughness,3,11,0.29659295442343914,0.28681772492357993,1.0168980669359373,-0.009775229499859206
high_to_low_roughness,3,12,0.2793692606691033,0.2906111055790763,0.9804675077211412,0.011241844909973042
high_to_low_roughness,3,13,0.38556136814976466,0.39120470641171795,0.9927610297779746,0.00564333826195329
high_to_low_roughness,3,14,0.39636003106996026,1.1528874599840193,0.5863426280091733,0.7565274289140591
high_to_low_roughness,3,15,0.30432217068229184,0.29925392793069305,1.0084325765318436,-0.005068242751598784
high_to_low_roughness,3,16,0.24931778490564072,0.2502873982536923,0.9980611204385142,0.0009696133480515678
high_to_low_roughness,3,17,0.27393859577452534,0.2763969455354827,0.995542931001333,0.002458349760957379
high_to_low_roughness,3,18,0.35159421715207834,0.3672592982228641,0.9784405919259238,0.015665081070785736
high_to_low_roughness,3,19,0.3349474251421438,0.326480410349859,1.0128841098635284,-0.008467014792284844
high_to_low_roughness,3,20,0.3093671233903098,0.31667879118916786,0.9883882874436122,0.007311667798858057
high_to_low_roughness,3,21,0.3318589873771628,0.390351652781437,0.9220379162164725,0.058492665404274224
high_to_low_roughness,3,22,0.30223410533063094,0.3405589152257883,0.9420535885376697,0.03832480989515735
high_to_low_roughness,3,23,0.2584697233984139,0.2848125843072509,0.9526321884700314,0.02634286090883703
high_to_low_roughness,3,24,0.2957841543373081,0.2974208772228006,0.9972446775405206,0.001636722885492492
high_to_low_roughness,3,25,0.27038260392598706,0.3114914374091972,0.931679021594871,0.04110883348321015
high_to_low_roughness,3,26,0.31084754520132957,0.3032494182511027,1.0124503452778653,-0.00759812695022688
high_to_low_roughness,3,27,0.24388373866161678,0.23896660268810815,1.0102359457177599,-0.004917135973508624
high_to_low_roughness,3,28,0.28052177646225607,0.3170568574902983,0.9406210961902794,0.03653508102804226
high_to_low_roughness,3,29,0.24707131126506363,0.25303860975010745,0.9881383703007726,0.00596729848504382
high_to_low_roughness,6,0,0.2739708061377925,0.2595880107864881,1.0273296641968823,-0.014382795351304434
high_to_low_roughness,6,1,0.40724114816855006,0.38937684013688434,1.022682368068673,-0.01786430803166572
high_to_low_roughness,6,2,0.37418468401749644,0.5653988711349937,0.8135149437382662,0.19121418711749721
high_to_low_roughness,6,3,0.37868574223910934,0.3243873993920951,1.0804570036385093,-0.054298342847014236
high_to_low_roughness,6,4,0.28754802812386565,0.3210149112610708,0.9464389256113418,0.03346688313720514
high_to_low_roughness,6,5,0.381358961442019,0.40008607446525785,0.9763156711911694,0.018727113023238873
high_to_low_roughness,6,6,0.5142225574881487,0.8336436996036983,0.7853899250578056,0.3194211421155496
high_to_low_roughness,6,7,0.36167710433470035,0.3276527053447052,1.0506392697780835,-0.03402439898999515
high_to_low_roughness,6,8,0.2501948345581865,0.278868536918415,0.9471950297418635,0.028673702360228537
high_to_low_roughness,6,9,0.3271789718596211,0.32306421094625415,1.0063481832260384,-0.004114760913366933
high_to_low_roughness,6,10,0.49298860105387377,0.5897076263127254,0.9143238883890146,0.09671902525885168
high_to_low_roughness,6,11,0.30413961247807225,0.29419310399261167,1.016764208120075,-0.009946508485460581
high_to_low_roughness,6,12,0.29717547345511774,0.30709035675539714,0.9837242834342436,0.009914883300279398
high_to_low_roughness,6,13,0.40216882274741034,0.4074564997351695,0.9934901711835737,0.005287676987759171
high_to_low_roughness,6,14,0.4253147616241867,1.170652702466674,0.6027555141730419,0.7453379408424873
high_to_low_roughness,6,15,0.3365046690362857,0.3216939209178798,1.0227609083535472,-0.014810748118405881
high_to_low_roughness,6,16,0.234624275939048,0.220970523728159,1.0304319121390029,-0.013653752210888992
high_to_low_roughness,6,17,0.29997657442533787,0.2934038430162259,1.0111387907311773,-0.006572731409111965
high_to_low_roughness,6,18,0.37437093863074183,0.46629821343699335,0.8960230633275567,0.09192727480625151
high_to_low_roughness,6,19,0.37247324947101945,0.3635522487354982,1.0121948568102759,-0.008921000735521267
high_to_low_roughness,6,20,0.35833671591723143,0.3665896872066513,0.988679508258484,0.008252971289419875
high_to_low_roughness,6,21,0.3290379433707155,0.3566199744831006,0.9605504033212284,0.027582031112385108
high_to_low_roughness,6,22,0.3212463026739462,0.40210697681283836,0.8938162884156131,0.08086067413889214
high_to_low_roughness,6,23,0.271847567607671,0.31448413872873676,0.9297439319036465,0.04263657112106578
high_to_low_roughness,6,24,0.323316879798518,0.3221300212783646,1.0018405104046348,-0.0011868585201533777
high_to_low_roughness,6,25,0.2799779236835713,0.32194974705158674,0.9325408176744774,0.04197182336801547
high_to_low_roughness,6,26,0.31358591302177263,0.3189900003398126,0.9914931953114158,0.005404087318039985
high_to_low_roughness,6,27,0.2628889130438922,0.24331676794444532,1.0394416525466856,-0.019572145099446908
high_to_low_roughness,6,28,0.297768025740672,0.3830570292138879,0.8816725357349259,0.08528900347321589
high_to_low_roughness,6,29,0.2486305520662033,0.25543517479149597,0.986590425063673,0.006804622725292669
high_to_low_roughness,12,0,0.2839781147489612,0.28491836284967165,0.9983486057321321,0.0009402481007104724
high_to_low_roughness,12,1,0.4416888795256357,0.4168330689018424,1.0293833743013296,-0.024855810623793273
high_to_low_roughness,12,2,0.5884002671597965,0.7029196210649747,0.9149210032003321,0.1145193539051782
high_to_low_roughness,12,3,0.5562749632624847,1.2831186294788772,0.6584326398614574,0.7268436662163925
high_to_low_roughness,12,4,0.318319190872152,0.3234255507979464,0.9920744111344707,0.00510635992579439
high_to_low_roughness,12,5,0.4280925009566177,0.5191956172207202,0.9080364899738413,0.09110311626410245
high_to_low_roughness,12,6,1.309376409115914,1.6937609540133491,0.8792374895129728,0.38438454489743523
high_to_low_roughness,12,7,0.5710255013908594,0.43269823979543953,1.1487755605154286,-0.13832726159541986
high_to_low_roughness,12,8,0.26889283269899966,0.3423953562761283,0.8861876231092259,0.07350252357712866
high_to_low_roughness,12,9,0.3374312938054517,0.3642881149838635,0.9624322722647682,0.02685682117841176
high_to_low_roughness,12,10,0.6702636049387859,0.5678899013428941,1.0864024744426417,-0.10237370359589182
high_to_low_roughness,12,11,0.3166121945607015,0.33210838509725515,0.9763912945070841,0.015496190536553656
high_to_low_roughness,12,12,0.36714505193788255,0.35297261747858427,1.0198782545696266,-0.014172434459298278
high_to_low_roughness,12,13,0.5103661369199984,0.5910522025504865,0.9292402339057664,0.08068606563048808
high_to_low_roughness,12,14,0.6059614863224083,1.2347413646834666,0.7005425394045158,0.6287798783610583
high_to_low_roughness,12,15,0.43711714573096727,0.4400381113444608,0.9966754821644132,0.0029209656134935313
high_to_low_roughness,12,16,0.2711708237581593,0.24951337124946138,1.0424964101296907,-0.02165745250869794
high_to_low_roughness,12,17,0.34986961702792546,0.32786241692961243,1.0330165912607747,-0.02200720009831303
high_to_low_roughness,12,18,0.39088623614485685,0.4518672002453224,0.9300788744458491,0.06098096410046555
high_to_low_roughness,12,19,0.4474079358677371,0.4196596502256652,1.0325313207345574,-0.02774828564207188
