transition,horizon,period,n_blocks,adaptive_mse,frozen_mse,benchmark_mse,adaptive_rmse_vs_frozen,adaptive_relative_rmsfe_vs_no_change,frozen_relative_rmsfe_vs_no_change,mean_adaptive_mse_advantage_vs_frozen,order_diff_share,window_diff_share,mean_abs_smoothness_change
high_to_low_roughness,1,all_post,1200,0.32264002643510037,0.35906237879793773,0.5686287749729544,0.9479254216224111,0.753259652885279,0.7946402066061758,0.03642235236283737,0.4625,0.5766666666666667,0.07157331954393524
high_to_low_roughness,1,early,360,0.33882985568180085,0.3516196275411206,0.555223992532425,0.9816445971450668,0.7811900859425251,0.7957972653386706,0.012789771859319777,0.3055555555555556,0.37777777777777777,0.07085570321972377
high_to_low_roughness,1,late,480,0.29762411228644886,0.35218868423744454,0.5938367415873899,0.9192769220084122,0.707946638970709,0.7701124895249254,0.0545645719509957,0.55,0.65,0.06557711421716131
high_to_low_roughness,1,mid,360,0.3398047493866018,0.3756700561354123,0.5484229352609028,0.9510676998892037,0.7871489453128394,0.8276476484319042,0.03586530674881051,0.5027777777777778,0.6777777777777778,0.08028587630384533
high_to_low_roughness,3,all_post,1200,0.3083586721874264,0.3589964644558639,0.9395255465151767,0.9267935394180946,0.5728933574288629,0.6181456096344449,0.05063779226843756,0.31083333333333335,0.5725,0.0345278894809089
high_to_low_roughness,3,early,360,0.3311932216816943,0.3633203458560808,0.8993912345436262,0.9547636155728846,0.6068290940221245,0.635580455857663,0.032127124174386484,0.21388888888888888,0.2972222222222222,0.02472262416345633
high_to_low_roughness,3,late,480,0.29297995824331863,0.360132102425262,1.0061558005371227,0.9019615789084947,0.5396178891419156,0.5982714804714099,0.06715214418194335,0.35,0.7645833333333333,0.03939803949043122
high_to_low_roughness,3,mid,360,0.3060290746186353,0.3531583990964496,0.8908195197907989,0.9308861628847648,0.5861199206280329,0.629636516254232,0.04712932447781423,0.35555555555555557,0.5916666666666667,0.03783962145233173
high_to_low_roughness,6,all_post,1170,0.33675455180515923,0.39142599389793725,1.958560660868153,0.9275384158490809,0.41465625763068714,0.44705022513930637,0.054671442092778015,0.3153846153846154,0.5401709401709401,0.03408182538438972
high_to_low_roughness,6,early,360,0.38105626604307097,0.4141289871693766,1.8340715808854713,0.95923880337593,0.45581269112680944,0.47518166438078757,0.03307272112630559,0.18611111111111112,0.2972222222222222,0.021207144816481217
high_to_low_roughness,6,late,450,0.301890257187927,0.3793667585619778,2.1212026892375815,0.8920617372289273,0.3772536620126579,0.4229008444914888,0.07747650137405075,0.35555555555555557,0.7066666666666667,0.03985630878704107
high_to_low_roughness,6,mid,360,0.3360332058387877,0.3837970447964472,1.8797472053890487,0.9357078747396822,0.42280622585812894,0.45185707769719835,0.047763838957659524,0.39444444444444443,0.575,0.039738401698984016
high_to_low_roughness,12,all_post,1110,0.43286380815524267,0.5233574524532804,5.735961950911624,0.9094449831229383,0.27470875903099745,0.30206198739771645,0.09049364429803769,0.34144144144144145,0.5180180180180181,0.05100951898911966
high_to_low_roughness,12,early,360,0.5847660029226508,0.5789339513156202,5.355777642618109,1.0050242669431715,0.3304302423174288,0.32877837201130267,-0.005832051607030679,0.17777777777777778,0.36944444444444446,0.03590329845966011
