direction,matched_control,horizon,seed,mean_excess_adaptive_mse_advantage,transition_adaptive_mse_advantage,control_adaptive_mse_advantage
high_to_low_roughness,stable_high_roughness,1,0,-0.10343227531417072,-0.05035728307257979,0.05307499224159094
high_to_low_roughness,stable_high_roughness,1,1,0.00730833369927972,-0.04586639841812762,-0.05317473211740733
high_to_low_roughness,stable_high_roughness,1,2,-0.39108257887912845,0.032289788386100866,0.4233723672652294
high_to_low_roughness,stable_high_roughness,1,3,-0.1506041005745336,-0.03719203973185616,0.11341206084267745
high_to_low_roughness,stable_high_roughness,1,4,0.017256293954260253,0.010170422663537144,-0.007085871290723117
high_to_low_roughness,stable_high_roughness,1,5,0.02607630041996923,-0.010703125483901742,-0.03677942590387097
high_to_low_roughness,stable_high_roughness,1,6,-0.9803471503491284,0.29151061974403003,1.2718577700931586
high_to_low_roughness,stable_high_roughness,1,7,-0.011480785732544154,0.004816362646086636,0.016297148378630798
high_to_low_roughness,stable_high_roughness,1,8,0.02072258157837919,0.0030952063373687944,-0.0176273752410104
high_to_low_roughness,stable_high_roughness,1,9,-0.04387130741262161,-0.022212019765297568,0.021659287647324034
high_to_low_roughness,stable_high_roughness,1,10,-0.015922630205039475,-0.03868248431934129,-0.022759854114301818
high_to_low_roughness,stable_high_roughness,1,11,-0.10446140798918968,-0.029408525701905365,0.07505288228728431
high_to_low_roughness,stable_high_roughness,1,12,-0.0335580647066264,0.0015359068292562172,0.03509397153588262
high_to_low_roughness,stable_high_roughness,1,13,0.15475300087198376,-0.01996454884771629,-0.17471754971970005
high_to_low_roughness,stable_high_roughness,1,14,-18.803589785255703,0.6638432023117696,19.467432987567474
high_to_low_roughness,stable_high_roughness,1,15,0.022216338664946527,-0.04158145527419673,-0.06379779393914325
high_to_low_roughness,stable_high_roughness,1,16,0.03525092391770943,0.0016946007691477083,-0.033556323148561704
high_to_low_roughness,stable_high_roughness,1,17,-0.06418363333517198,-0.05528708288137887,0.008896550453793107
high_to_low_roughness,stable_high_roughness,1,18,0.08402023309132707,-0.011446662635143138,-0.09546689572647019
high_to_low_roughness,stable_high_roughness,1,19,-0.029194433693445366,-0.04291204798301603,-0.013717614289570657
high_to_low_roughness,stable_high_roughness,1,20,0.02247523075016556,-0.003178530476655654,-0.02565376122682121
high_to_low_roughness,stable_high_roughness,1,21,-0.7330614417494716,0.34835715435058956,1.081418596100061
high_to_low_roughness,stable_high_roughness,1,22,-0.02018538625383478,0.07674218547225085,0.09692757172608565
high_to_low_roughness,stable_high_roughness,1,23,0.04113247213067896,-0.011877110420409103,-0.05300958255108805
high_to_low_roughness,stable_high_roughness,1,24,-0.015545855606514475,1.6918207096716654e-05,0.01556277381361119
high_to_low_roughness,stable_high_roughness,1,25,0.003999210083634919,0.1676656824527338,0.16366647236909887
