transition,horizon,period,n_blocks,adaptive_mse,frozen_mse,benchmark_mse,adaptive_rmse_vs_frozen,adaptive_relative_rmsfe_vs_no_change,frozen_relative_rmsfe_vs_no_change,mean_adaptive_mse_advantage_vs_frozen,order_diff_share,window_diff_share,mean_abs_smoothness_change
high_to_low,1,all_post,1200,0.3629254022071378,0.4647852489217113,0.508245941680459,0.8836545444655239,0.8450292143715546,0.956289106035966,0.10185984671457368,0.4816666666666667,0.5225,0.4621225625981153
high_to_low,1,early,360,0.38781216141056946,0.45402544321351246,0.48998103679195193,0.924209900371712,0.8896538773036949,0.9626102002866246,0.06621328180294309,0.20555555555555555,0.4166666666666667,0.2614122897558596
high_to_low,1,late,480,0.3298465704228202,0.4629029694980277,0.527178596660582,0.8441332418235219,0.7910011257660164,0.9370571926029972,0.13305639907520758,0.6666666666666666,0.5625,0.5820934987834783
high_to_low,1,mid,360,0.3821437520494628,0.4780547605281552,0.5012673065954687,0.8940762489340225,0.8731295599626888,0.9765716973286028,0.09591100847869245,0.5111111111111111,0.575,0.5028715871932204
high_to_low,3,all_post,1200,0.3546908244436951,0.4585575861052585,0.6342336276302775,0.8794841876142876,0.7478256280786694,0.8503002539559481,0.1038667616615634,0.4583333333333333,0.52,0.4214776958732752
high_to_low,3,early,360,0.4000804366280996,0.44111010961655917,0.5789390603185539,0.9523578197329079,0.8312989497362361,0.8728850989740146,0.04102967298845947,0.15,0.39444444444444443,0.22377297238818636
high_to_low,3,late,480,0.3248862551701538,0.4885341885447252,0.703478066115135,0.8154891518841867,0.6795796862133624,0.8333399465133219,0.16364793337457145,0.6666666666666666,0.54375,0.5365257630392466
high_to_low,3,mid,360,0.3490406379573458,0.4360362593413358,0.5972022769621913,0.8946984691254722,0.7644996121695388,0.854477389367619,0.08699562138398996,0.4888888888888889,0.6138888888888889,0.4657849964704021
high_to_low,6,all_post,1170,0.38071463937491234,0.46343802235627174,0.9742799602366188,0.9063667337158956,0.6251120972783577,0.689690027253694,0.08272338298135945,0.3367521367521368,0.49145299145299143,0.19969089027791445
high_to_low,6,early,360,0.3987333980315755,0.4083902482740492,0.8080236672358314,0.988106202144408,0.7024724009064433,0.7109280352475509,0.009656850242473692,0.16111111111111112,0.3527777777777778,0.10451875717132328
high_to_low,6,late,450,0.3516999527847707,0.5222557771897232,1.1585246163455638,0.8206245940330907,0.5509770658679405,0.6714118366354043,0.17055582440495246,0.44666666666666666,0.6,0.24537765341592133
high_to_low,6,mid,360,0.39896423895592625,0.44496360289668013,0.9102304331012251,0.9469013609821959,0.6620507911321963,0.6991760899419011,0.04599936394075394,0.375,0.49444444444444446,0.23775456946199702
high_to_low,12,all_post,1110,0.5180947747356351,0.6936710582215647,2.2312544332704083,0.86422697671241,0.48187018735460724,0.5575736471310823,0.17557628348592974,0.2981981981981982,0.4252252252252252,0.13853718747531613
high_to_low,12,early,360,0.5708787867940557,0.5557535146159865,1.7063081861338218,1.0135165475796353,0.5784198860111048,0.5707059123922755,-0.015125272178069277,0.16111111111111112,0.2972222222222222,0.08256219466855824
high_to_low,12,late,390,0.4619522884611817,0.9065229880081865,2.826344361714221,0.7138535944429133,0.4042835065242208,0.5663395262998164,0.4445706995470049,0.4205128205128205,0.5282051282051282,0.16993061446807892
high_to_low,12,mid,360,0.5261317894745391,0.6009990112249696,2.1115199245928635,0.9356434740914753,0.49917138292844,0.5335059739642211,0.07486722175043056,0.30277777777777776,0.44166666666666665,0.16050263437324766
low_to_high,1,all_post,1200,0.16352609875055024,0.27757430029018093,0.12798887689788147,0.7675451133963493,1.130335646633523,1.4726634655151973,0.11404820153963073,0.5125,0.5225,0.32137970237400376
low_to_high,1,early,360,0.21243159105896123,0.24089933765991903,0.11254915357275325,0.9390565536718509,1.373847204333625,1.4630079508648097,0.028467746600957806,0.3138888888888889,0.3972222222222222,0.05230332347989603
