seed,transition,pre_phi,post_phi,horizon,regime_point,outer_origin,relative_origin,period,adaptive_order,adaptive_window,adaptive_lambda,adaptive_smoothness,frozen_order,frozen_window,frozen_lambda,frozen_smoothness,adaptive_order_differs,adaptive_window_differs,adaptive_smoothness_minus_frozen,adaptive_mse,frozen_mse,benchmark_mse,adaptive_rmse,frozen_rmse,benchmark_rmse,adaptive_mse_advantage_vs_frozen,adaptive_relative_rmsfe_vs_no_change,frozen_relative_rmsfe_vs_no_change
0,stable_low,0.0,0.0,1,180,180,0,early,2,72,8899.489545260338,0.9768070702276446,2,72,8899.489545260338,0.9768070702276446,0.0,0.0,0.0,0.35497469543495197,0.35497469543495197,5.096872740320721,0.5957975288929553,0.5957975288929553,2.2576254650230894,0.0,0.2639045041454039,0.2639045041454039
0,stable_low,0.0,0.0,1,180,183,3,early,2,72,18561.914507341105,0.98309340535268,2,72,8899.489545260338,0.9768070702276446,0.0,0.0,0.006286335125035403,0.0428478907023093,0.03542989291087273,1.1137705977711096,0.20699732051963693,0.18822829997339063,1.0553533047141652,-0.007417997791436572,0.19614030637417737,0.1783557213803115
0,stable_low,0.0,0.0,1,180,186,6,early,2,72,21546.11025195795,0.9842343257272322,2,72,8899.489545260338,0.9768070702276446,0.0,0.0,0.0074272554995876705,0.28956340634360533,0.2620135153591629,0.02776598434023999,0.5381109609955974,0.5118725577320618,0.16663128259795634,-0.027549890984442438,3.229351371518502,3.071887521667193
0,stable_low,0.0,0.0,1,180,189,9,early,2,72,25261.046076956005,0.9854066032142973,2,72,8899.489545260338,0.9768070702276446,0.0,0.0,0.008599532986652725,0.6653333624782967,0.7454268956556203,0.8678601311570369,0.8156796935551949,0.8633810836795188,0.9315901089841159,0.0800935331773236,0.8755778809681444,0.9267821495239168
0,stable_low,0.0,0.0,1,180,192,12,early,2,72,56710.46328159217,0.9906679914900001,2,72,8899.489545260338,0.9768070702276446,0.0,0.0,0.013860921262355497,0.0031657630194137014,0.015954335084553278,0.2604261349328914,0.0562651136976875,0.12631047100123283,0.5103196399639067,0.012788572065139576,0.11025465079428835,0.24751246299312793
0,stable_low,0.0,0.0,1,180,195,15,early,2,72,110026.78999575452,0.9940358055810126,2,72,8899.489545260338,0.9768070702276446,0.0,0.0,0.017228735353367997,0.23090493456003963,0.32991575696022185,0.9242364663074757,0.48052568564025755,0.5743829358191466,0.9613721788711569,0.09901082240018222,0.49983315119904004,0.5974615746563282
0,stable_low,0.0,0.0,1,180,198,18,early,2,72,95158.21387791137,0.9933779876416721,2,72,8899.489545260338,0.9768070702276446,0.0,0.0,0.016570917414027497,0.06213033474592047,0.13239244792226174,0.23882195282182617,0.24925957302763813,0.36385773033187263,0.4886941301282697,0.07026211317634126,0.5100523162867004,0.7445510553531087
0,stable_low,0.0,0.0,1,180,201,21,early,2,72,355709.85477067344,0.9977184024798728,2,72,8899.489545260338,0.9768070702276446,0.0,0.0,0.020911332252228187,0.23316217165796516,0.39491234040293965,0.2598048734393246,0.4828686898712373,0.6284205123982982,0.5097105781120543,0.1617501687449745,0.9473389617687783,1.2328967445132104
0,stable_low,0.0,0.0,1,180,204,24,early,2,72,26489122129.84347,1.00000035924574,2,72,8899.489545260338,0.9768070702276446,0.0,0.0,0.023193289018095475,0.4201853138145171,0.21142663914221096,0.2600808311799128,0.6482170267854102,0.4598115256735209,0.5099812066928671,-0.20875867467230616,1.271060616113634,0.9016244513308889
0,stable_low,0.0,0.0,1,180,207,27,early,2,72,71485.03249258023,0.9919488224519537,2,72,8899.489545260338,0.9768070702276446,0.0,0.0,0.015141752224309135,0.07322679257485232,0.039834384309948324,0.014440184144449043,0.2706044947425159,0.19958553131414192,0.1201673172890576,-0.03339240826490399,2.25189761115818,1.6608969544859442
0,stable_low,0.0,0.0,1,180,210,30,early,2,72,58440.75587560653,0.9908402869468363,2,72,8899.489545260338,0.9768070702276446,0.0,0.0,0.014033216719191777,0.5084733167703236,0.4401796894454471,0.4688036854402441,0.7130731496630087,0.6634603902611271,0.6846924020611329,-0.06829362732487648,1.0414503615294124,0.9689904375510946
0,stable_low,0.0,0.0,1,180,213,33,early,2,72,46655.709783821985,0.9895069924559333,2,72,8899.489545260338,0.9768070702276446,0.0,0.0,0.012699922228288751,0.30237726963761585,0.20857413777138994,0.08807954347418331,0.5498884156241299,0.45669917645140323,0.2967819796992117,-0.09380313186622591,1.8528362678267776,1.5388372869345621
0,stable_low,0.0,0.0,1,180,216,36,mid,2,24,463683852.75033355,0.9999999946529602,2,72,8899.489545260338,0.9768070702276446,0.0,1.0,0.02319292442531562,0.3135641033442894,0.4182141678792939,1.1592530495634463,0.559967948497313,0.6466948027310053,1.0766861425519725,0.10465006453500447,0.5200846619703596,0.6006344627025687
0,stable_low,0.0,0.0,1,180,219,39,mid,2,24,209944863.24874797,0.9999998613851715,2,72,8899.489545260338,0.9768070702276446,0.0,1.0,0.023192791157526926,1.2597323516710586,1.3626824372343742,3.07859483976484,1.1223779896590358,1.1673398979022238,1.7545924996319915,0.10295008556331564,0.639680147894422,0.6653054188633896
0,stable_low,0.0,0.0,1,180,222,42,mid,3,48,26489122129.84347,0.9999939036535136,2,72,8899.489545260338,0.9768070702276446,1.0,1.0,0.023186833425869025,0.17907485701800138,0.22236156818429495,0.2502616790841125,0.4231723727017176,0.4715522963408141,0.5002616106439834,0.04328671116629357,0.8459021513902908,0.9426113983317408
0,stable_low,0.0,0.0,1,180,225,45,mid,3,48,26489122129.84347,0.9999939036535136,2,72,8899.489545260338,0.9768070702276446,1.0,1.0,0.023186833425869025,0.36995098265018,0.18102595432047466,0.28634369318808134,0.6082359596819149,0.42547144947748805,0.53511091671548,-0.18892502832970534,1.1366539920644447,0.7951088945989724
0,stable_low,0.0,0.0,1,180,228,48,mid,2,24,172687949.24916133,0.9999998186218539,2,72,8899.489545260338,0.9768070702276446,0.0,1.0,0.023192748394209373,0.018590127659607037,0.011012627510570286,0.4892174627152834,0.13634561841000625,0.1049410668450168,0.6994408214533117,-0.007577500149036751,0.19493517425349108,0.15003566224082865
0,stable_low,0.0,0.0,1,180,231,51,mid,3,48,26489122129.84347,0.9999939036535136,2,72,8899.489545260338,0.9768070702276446,1.0,1.0,0.023186833425869025,0.046692944696146085,0.03252959964854611,0.1327436332458116,0.2160855032068234,0.1803596397438909,0.36433999676924245,-0.014163345047599973,0.5930875147470642,0.49503112846027464
0,stable_low,0.0,0.0,1,180,234,54,mid,3,48,26489122129.84347,0.9999939036535136,2,72,8899.489545260338,0.9768070702276446,1.0,1.0,0.023186833425869025,0.5916968787579694,0.5784749882975381,1.2835344331733705,0.7692183557079026,0.7605754323520699,1.132931786637382,-0.013221890460431318,0.6789626390402502,0.6713338272637835
0,stable_low,0.0,0.0,1,180,237,57,mid,2,24,160078281.258467,0.99999980025172,2,72,8899.489545260338,0.9768070702276446,0.0,1.0,0.023192730024075403,1.3501420384770138,1.1895923597138165,0.4470105129163999,1.161956125882993,1.0906843538411177,0.6685884480877604,-0.16054967876319726,1.737924322812218,1.6313239586484032
0,stable_low,0.0,0.0,1,180,240,60,mid,2,24,93610441.71624795,0.9999996303660234,2,72,8899.489545260338,0.9768070702276446,0.0,1.0,0.02319256013837878,1.2358576814879922,1.1811846643845698,0.10235019513494864,1.1116913607148309,1.0868231983099044,0.31992217043360505,-0.05467301710342243,3.4748806536543095,3.397148740385462
0,stable_low,0.0,0.0,1,180,243,63,mid,3,48,851111.3918372389,0.995241708562795,2,72,8899.489545260338,0.9768070702276446,1.0,1.0,0.018434638335150466,0.3322357655078936,0.20047837091830936,0.2349768385999996,0.5763989638331193,0.44774811101590295,0.48474409599292656,-0.13175739458958421,1.1890788739828821,0.9236793489949727
0,stable_low,0.0,0.0,1,180,246,66,mid,2,24,61409819.33582918,0.9999994238874752,2,72,8899.489545260338,0.9768070702276446,0.0,1.0,0.023192353659830633,0.8893780692727596,0.9640347594852862,1.0342949465878555,0.9430684329743837,0.9818527178173344,1.017002923588647,0.07465669021252652,0.9273015948141285,0.9654374584811616
0,stable_low,0.0,0.0,1,180,249,69,mid,2,24,48866616.69379053,0.9999992716024896,2,72,8899.489545260338,0.9768070702276446,0.0,1.0,0.023192201374845012,0.19885174528362565,0.052373362937007395,0.1493243764857974,0.4459279597464434,0.22885227317421908,0.38642512403542995,-0.14647838234661825,1.153982833956619,0.5922292804989472
0,stable_low,0.0,0.0,1,180,252,72,late,2,24,70559223.75639963,0.9999995012566055,2,72,8899.489545260338,0.9768070702276446,0.0,1.0,0.023192431028960958,0.10370192813855594,0.27813484399370775,0.4190139845951718,0.32202783752116204,0.5273849106617554,0.6473128954340179,0.1744329158551518,0.49748404487638864,0.8147294984879734
0,stable_low,0.0,0.0,1,180,255,75,late,2,24,107412199.17452434,0.9999996818843984,2,72,8899.489545260338,0.9768070702276446,0.0,1.0,0.023192611656753792,0.43271104169490787,0.6850369933467725,0.6658572726416694,0.6578077543590588,0.82766961605871,0.8160007798045719,0.2523259516518646,0.8061361834931096,1.0143000307633687
0,stable_low,0.0,0.0,1,180,258,78,late,2,24,93558595.56267299,0.9999996301450346,2,72,8899.489545260338,0.9768070702276446,0.0,1.0,0.02319255991739,0.6755104936633409,0.9436588746860917,0.5960756798729906,0.8218944540896604,0.9714210594207291,0.7720593758727308,0.26814838102275074,1.0645482456068829,1.2582206625269479
0,stable_low,0.0,0.0,1,180,261,81,late,2,24,85772361.199376,0.9999995940350613,2,72,8899.489545260338,0.9768070702276446,0.0,1.0,0.023192523807416765,0.10134310844411865,0.09483559869160665,0.04724240850944306,0.31834432371901755,0.3079538905284469,0.2173531884041342,-0.006507509752511992,1.4646406894529016,1.4168363150756036
0,stable_low,0.0,0.0,1,180,264,84,late,2,24,94586770.1133598,0.9999996344839388,2,72,8899.489545260338,0.9768070702276446,0.0,1.0,0.023192564256294235,0.9138934168871561,0.8617267536545801,0.4817980677642515,0.955977728238036,0.9282923858648093,0.6941167536980011,-0.052166663232576016,1.3772578217496336,1.3373721076738256
0,stable_low,0.0,0.0,1,180,267,87,late,2,24,90118564.37098986,0.9999996149348759,2,72,8899.489545260338,0.9768070702276446,0.0,1.0,0.02319254470723131,0.5932797698303982,0.4986676672382853,0.21285523432424885,0.7702465643093763,0.7061640512220126,0.46136236769403816,-0.09461210259211289,1.669504533191968,1.5306060933221144
0,stable_low,0.0,0.0,1,180,270,90,late,2,24,75240410.99546956,0.9999995336992399,2,72,8899.489545260338,0.9768070702276446,0.0,1.0,0.023192463471595315,0.31279256998018085,0.21879981685712022,0.617885978234911,0.5592786157007801,0.46776042677541696,0.7860572359789781,-0.09399275312306063,0.711498590817294,0.5950717140754449
0,stable_low,0.0,0.0,1,180,273,93,late,3,48,1123529.79923791,0.9962411249897869,2,72,8899.489545260338,0.9768070702276446,1.0,1.0,0.019434054762142328,0.06381339956134198,0.13376909358338374,0.33969041032397074,0.25261314209942043,0.3657445742364249,0.582829658068265,0.06995569402204176,0.433425338951836,0.6275325374632641
0,stable_low,0.0,0.0,1,180,276,96,late,3,48,776273.8771614679,0.9948662542598516,2,72,8899.489545260338,0.9768070702276446,1.0,1.0,0.018059184032207076,0.21201126567876272,0.2795936507287272,1.0351719300030093,0.4604468109117086,0.5287661588346282,1.0174339929464757,0.0675823850499645,0.4525569364733535,0.5197056148117561
0,stable_low,0.0,0.0,1,180,279,99,late,2,24,89548432.31173131,0.9999996123051154,2,72,8899.489545260338,0.9768070702276446,0.0,1.0,0.02319254207747079,0.07424736625475095,0.01780462232981493,0.03670818044575986,0.2724836990624411,0.13343396243016592,0.19159379020667622,-0.05644274392493602,1.4221948361087655,0.6964419999532757
0,stable_low,0.0,0.0,1,180,282,102,late,2,24,56534607.577717684,0.9999993726232882,2,72,8899.489545260338,0.9768070702276446,0.0,1.0,0.023192302395643627,0.7959415094758635,0.6951288838612332,1.695802435220105,0.8921555410778232,0.8337438958464602,1.302229793554158,-0.10081262561463034,0.6850983946872198,0.6402432965159969
0,stable_low,0.0,0.0,1,180,285,105,late,3,48,307003.40249446087,0.9897707603950476,2,72,8899.489545260338,0.9768070702276446,1.0,1.0,0.012963690167403064,0.005372994054886915,0.045697625121695534,0.07520762255615673,0.07330070978433234,0.21377002858608485,0.27424008196497596,0.04032463106680862,0.26728663898843863,0.779499579544999
0,stable_low,0.0,0.0,1,180,288,108,late,1,24,20.273021471765194,0.9068301756851206,2,72,8899.489545260338,0.9768070702276446,1.0,1.0,-0.06997689454252398,0.031391104906662894,0.00788122911541552,0.33498164415781445,0.1771753507310283,0.0887762868981099,0.5787759878898004,-0.023509875791247373,0.30612076941374883,0.1533862647304798
0,stable_low,0.0,0.0,1,180,291,111,late,1,48,25.5671623859654,0.9102429163807038,2,72,8899.489545260338,0.9768070702276446,1.0,1.0,-0.06656415384694081,0.9704113149510806,0.9839537750681043,1.3551201329705864,0.9850945715773083,0.9919444415228629,1.164096273067905,0.013542460117023758,0.8462311875470157,0.8521154688595073
