seed,ar1_phi,horizon,outer_origin,selected_order,selected_window,smoothness_observed_forecast,smoothness_latent_forecast_oracle,smoothness_ar_residual_oracle,smoothness_recovery_oracle,gap_observed_minus_latent,gap_observed_minus_ar,gap_observed_minus_recovery,observed_mse_observed_lambda,observed_mse_latent_lambda,observed_mse_recovery_lambda,observed_mse_ar_oracle,latent_mse_observed_lambda,latent_mse_latent_lambda,latent_mse_recovery_lambda,search_source_observed,search_source_latent,search_source_ar,search_source_recovery,n_stationary_observed,n_stationary_latent,n_stationary_ar,n_stationary_recovery
0,-0.8,1,120,3,72,0.9935436460403223,0.9718282698494919,0.9718101075738163,0.934591940707615,0.021715376190830415,0.021733538466506053,0.05895170533270733,0.012879249741200634,0.005077424124466611,0.007855646407299003,0.04153377502599448,0.049085795117783056,0.001354999247169177,0.0003776910882481668,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,-0.8,1,126,3,72,0.9910728393110679,0.9716618548835625,0.9740208182904829,0.9348407828087415,0.01941098442750544,0.017052021020585006,0.05623205650232643,0.0216192372241543,0.0736139686655126,0.0659115570168594,5.8511961414113884e-05,0.0025416195119409507,0.03051960207683675,0.02563589186259597,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,-0.8,1,132,3,72,0.9915951032454858,0.9718106705478226,0.97398630601712,0.9334368756871427,0.01978443269766328,0.017608797228365836,0.0581582275583431,0.0008682373815008435,2.7438067868388063e-06,0.004010157759337027,0.008773164195644348,0.000925097827275382,6.7912194342466385e-06,0.0041313218038464975,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,-0.8,1,138,3,72,0.991140085421211,0.9735402050196207,0.97935426175286,0.9344615775981978,0.01759988040159033,0.011785823668351014,0.0566785078230132,0.02440485682010811,0.019365391149558153,0.018290782571048148,0.04743584491858203,0.00033826896042626084,1.7719319668116554e-06,6.682378733121353e-06,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,-0.8,1,144,3,72,0.9912706396659664,0.9746261404391614,0.9837528135276136,0.9335029134415017,0.016644499226805,0.007517826138352834,0.05776772622446469,0.23285812817260781,0.23026170524628303,0.32049690804240716,0.13146120756317947,0.039200076792390945,0.03813906573544385,0.07927648368948555,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,-0.8,1,150,3,72,0.9915747332258261,0.9738702325585836,0.9835343747352275,0.9331756220560796,0.017704500667242495,0.008040358490598587,0.0583991111697465,0.5138405887151143,0.4621001977984086,0.4806734114280476,0.23687562797656375,0.0584742660422016,0.04192964723390328,0.047652237374922905,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,-0.8,1,156,3,72,0.9905702694107946,0.9737384744199209,0.9812820711636192,0.9320237521223307,0.016831794990873727,0.009288198247175417,0.05854651728846394,0.04383827614414935,0.09238114566912436,0.13789467337093056,0.006889772839987026,0.00026288237840123323,0.012272296061811397,0.03174791559951342,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,-0.8,1,162,3,72,0.9900220610065029,0.974216839544952,0.9819801303698376,0.9314559900750683,0.015805221461550945,0.008041930636665362,0.05856607093143462,0.09232071014142122,0.09305545398668161,0.03228642456771235,0.06673143377839065,0.0640166622483833,0.06462873883597062,0.01660390615999142,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,-0.8,1,168,2,72,0.9721461305374491,0.9444855149694221,0.9452979815296826,0.9118191213188032,0.027660615568027014,0.026848149007766553,0.06032700921864598,1.5535568310141112,2.1449080618371053,2.7447142003004235,0.22593287464848713,0.01935007397942972,0.006245475641391563,0.07354713900732665,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,-0.8,1,174,3,72,0.9907176213388796,0.9734908978731078,0.9813463158231656,0.9338064391583425,0.01722672346577181,0.009371305515714079,0.056911182180537145,0.0333460758130289,0.0006558589094936069,0.010336557032231287,0.4684003524116277,4.5281475279407575e-05,0.04620263103088796,0.08468512647225382,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
