seed,ar1_phi,horizon,n_outer_origins,mean_order,mean_window,s_observed,s_latent,s_ar,s_recovery,gap_observed_minus_latent,gap_observed_minus_ar,gap_observed_minus_recovery,mse_observed,mse_latent_lambda,mse_recovery_lambda,mse_ar_oracle,latent_mse_observed,latent_mse_latent,latent_mse_recovery,rmse_ar_vs_trend_only
0,-0.8,1,20,2.65,56.4,0.9923569649037723,0.974322104634372,0.9759694251782152,0.941679103900843,0.01803486026940035,0.016387539725557055,0.05067786100292935,0.3409081213496022,0.37204673708233116,0.42413537130851997,0.15263945674956333,0.031035376137376537,0.027407205021608583,0.0360038530982383,0.6691365181088561
0,-0.8,2,20,2.65,64.8,0.9749442099436776,0.9723060730820864,0.9725011929796619,0.9326794954853586,0.002638136861591123,0.0024430169640156153,0.04226471445831894,0.2907481356632279,0.2893280103049043,0.2973616930143817,0.13903699287462962,0.03068510095337181,0.030814555651789095,0.047214542377396,0.6915231345375591
0,-0.8,3,20,2.2,66.0,0.9794447069165486,0.9646138561182731,0.9676435686251091,0.9233973261029425,0.014830850798275308,0.011801138291439379,0.05604738081360604,0.3313211457246196,0.3457000543738495,0.37591663358810423,0.20208433497339043,0.03800638630470762,0.03664402824007431,0.048306906284466065,0.7809833003058249
0,-0.8,6,20,2.25,67.2,0.9728824508276182,0.9685451383159643,0.9727851646380777,0.9234739851282331,0.0043373125116538515,9.728618954040757e-05,0.04940846569938502,0.3457905111174827,0.34682535947841225,0.37313273561540267,0.25396709411226,0.04823822053100406,0.04917585796868777,0.07708733750844603,0.857002697908993
0,-0.8,12,19,2.1052631578947367,70.73684210526316,0.9701703828441658,0.968383913625209,0.9701662584198806,0.9179382415541872,0.0017864692189567895,4.12442428520647e-06,0.05223214128997862,0.3691430549229066,0.3688145696454792,0.46029960182986496,0.32040491694858947,0.08464514301681621,0.08422942283759043,0.16773083866673022,0.9316488132400497
0,-0.4,1,20,2.95,58.8,0.9957659300358335,0.9844953277330186,0.9916555353674209,0.9644605913940036,0.011270602302815036,0.0041103946684126706,0.031305338641829834,0.3810248795217556,0.35770714525268876,0.4244508010430773,0.33156467593543826,0.05667960628237164,0.04400769720220356,0.0499570720155399,0.9328406451513476
0,-0.4,2,20,3.0,55.2,0.9962673828180186,0.9878105966362639,0.9953001437152063,0.9692973592218819,0.008456786181754706,0.0009672391028124228,0.02697002359613689,0.3066990011205251,0.29158378435755844,0.32339230229858035,0.26737831625513475,0.059622319101929014,0.04812331460109174,0.06355411489295162,0.9336990378544818
0,-0.4,3,20,2.2,66.0,0.98127337148703,0.9725990343961939,0.9807258577475217,0.9454280724200463,0.008674337090836015,0.0005475137395081653,0.03584529906698346,0.34022044056769685,0.33316360526772687,0.34018307730715575,0.3193646829897908,0.060920513692791424,0.05447559836827991,0.05562477399554464,0.9688649447365167
0,-0.4,6,20,2.25,68.4,0.9786560490787382,0.9761157937248839,0.9784588855704882,0.9463593466857034,0.0025402553538541096,0.0001971635082499257,0.032296702393034685,0.32452466211378994,0.3211809542616926,0.34426523044893315,0.31401535361246075,0.07443208959138872,0.07046147553708701,0.07812534158021704,0.9836748967329457
0,-0.4,12,19,2.1578947368421053,70.73684210526316,0.9751033487246858,0.9737531366824869,0.9750675977857389,0.941916772349116,0.0013502120421990072,3.5750938947008924e-05,0.03318657637556993,0.35240633963557255,0.3494718889792465,0.4090827855511245,0.3462293033804944,0.11549831027002537,0.11327691830097618,0.15260611831237095,0.9911971729200504
0,0.0,1,20,2.65,58.8,0.995646440459516,0.9885952370863317,0.995646440459516,0.9716550786787825,0.007051203373184395,0.0,0.02399136178073335,0.4076001787324481,0.37307740186641725,0.372581558288907,0.4076001787324481,0.11088185806453221,0.0836449589332909,0.07326864160410554,1.0
