direction,horizon,relative_origin,transition_smoothness,start_reference_smoothness,target_reference_smoothness,mean_abs_smoothness_gap_to_target,mean_transition_order,mean_start_order,mean_target_order,mean_transition_window,mean_start_window,mean_target_window,order_match_target_share,window_match_target_share,discrete_config_match_target_share,mean_transition_window_post_fraction,reference_smoothness_shift,smoothness_progress
high_to_low,1,-60,0.4439436464645576,0.4439436464645576,0.94196425329919,0.4980206367610455,1.5,1.5,2.066666666666667,45.6,45.6,48.0,0.36666666666666664,0.3,0.13333333333333333,0.0,0.4980206068346324,0.0
high_to_low,1,-57,0.47014831216703185,0.47014831216703185,0.9549946435063766,0.48484640945681384,1.5333333333333334,1.5333333333333334,2.2,41.6,41.6,49.6,0.3,0.23333333333333334,0.13333333333333333,0.0,0.4848463313393448,0.0
high_to_low,1,-54,0.46147061774349335,0.46147061774349335,0.945794552667515,0.48432402606204544,1.5,1.5,2.1333333333333333,43.2,43.2,49.6,0.3333333333333333,0.3333333333333333,0.2,0.0,0.48432393492402165,0.0
high_to_low,1,-51,0.45206241261038305,0.45206241261038305,0.9319479409155732,0.4798856024820342,1.4666666666666666,1.4666666666666666,2.1333333333333333,40.0,40.0,48.0,0.36666666666666664,0.3333333333333333,0.23333333333333334,0.0,0.47988552830519016,0.0
high_to_low,1,-48,0.47188048683949296,0.47188048683949296,0.9432353999201989,0.4713549970899814,1.5,1.5,2.2,41.6,41.6,50.4,0.36666666666666664,0.23333333333333334,0.1,0.0,0.47135491308070593,0.0
high_to_low,1,-45,0.42528773827241284,0.42528773827241284,0.9408692639610996,0.5155815669332909,1.4333333333333333,1.4333333333333333,2.1666666666666665,44.0,44.0,48.0,0.36666666666666664,0.36666666666666664,0.1,0.0,0.5155815256886868,0.0
high_to_low,1,-42,0.4285938928739662,0.4285938928739662,0.9669556266972125,0.5383617638317336,1.4333333333333333,1.4333333333333333,2.2333333333333334,43.2,43.2,49.6,0.3333333333333333,0.3333333333333333,0.1,0.0,0.5383617338232463,0.0
high_to_low,1,-39,0.41771672103099267,0.41771672103099267,0.9644740363416706,0.5467573153106781,1.4,1.4,2.2,42.4,42.4,49.6,0.3333333333333333,0.3,0.1,0.0,0.546757315310678,0.0
high_to_low,1,-36,0.41393689905572967,0.41393689905572967,0.9667974151335066,0.552860516077777,1.4,1.4,2.1666666666666665,40.8,40.8,49.6,0.3333333333333333,0.26666666666666666,0.1,0.0,0.5528605160777769,0.0
high_to_low,1,-33,0.3523219060675008,0.3523219060675008,0.9579496665437444,0.6056277604762437,1.3,1.3,2.1666666666666665,42.4,42.4,52.8,0.3,0.3,0.06666666666666667,0.0,0.6056277604762436,0.0
