transition,horizon,relative_origin,selected_order,selected_window,count,fraction
high_to_low,1,-6,1,24,5,0.16666666666666666
high_to_low,1,-6,1,48,10,0.3333333333333333
high_to_low,1,-6,1,72,6,0.2
high_to_low,1,-6,2,24,6,0.2
high_to_low,1,-6,2,48,2,0.06666666666666667
high_to_low,1,-6,3,72,1,0.03333333333333333
high_to_low,1,-3,1,24,7,0.23333333333333334
high_to_low,1,-3,1,48,11,0.36666666666666664
high_to_low,1,-3,1,72,2,0.06666666666666667
high_to_low,1,-3,2,24,7,0.23333333333333334
high_to_low,1,-3,2,48,2,0.06666666666666667
high_to_low,1,-3,2,72,1,0.03333333333333333
high_to_low,1,0,1,24,6,0.2
high_to_low,1,0,1,48,10,0.3333333333333333
high_to_low,1,0,1,72,5,0.16666666666666666
high_to_low,1,0,2,24,5,0.16666666666666666
high_to_low,1,0,2,48,1,0.03333333333333333
high_to_low,1,0,2,72,1,0.03333333333333333
high_to_low,1,0,3,72,2,0.06666666666666667
high_to_low,1,3,1,24,6,0.2
high_to_low,1,3,1,48,11,0.36666666666666664
high_to_low,1,3,1,72,5,0.16666666666666666
high_to_low,1,3,2,24,4,0.13333333333333333
high_to_low,1,3,2,48,2,0.06666666666666667
high_to_low,1,3,3,72,2,0.06666666666666667
high_to_low,1,6,1,24,8,0.26666666666666666
high_to_low,1,6,1,48,11,0.36666666666666664
high_to_low,1,6,1,72,3,0.1
high_to_low,1,6,2,24,5,0.16666666666666666
high_to_low,1,6,2,72,1,0.03333333333333333
high_to_low,1,6,3,72,2,0.06666666666666667
high_to_low,1,9,1,24,8,0.26666666666666666
high_to_low,1,9,1,48,10,0.3333333333333333
high_to_low,1,9,1,72,4,0.13333333333333333
high_to_low,1,9,2,24,4,0.13333333333333333
high_to_low,1,9,2,72,2,0.06666666666666667
high_to_low,1,9,3,72,2,0.06666666666666667
high_to_low,1,12,1,24,7,0.23333333333333334
high_to_low,1,12,1,48,9,0.3
high_to_low,1,12,1,72,4,0.13333333333333333
high_to_low,1,12,2,24,5,0.16666666666666666
high_to_low,1,12,2,48,2,0.06666666666666667
high_to_low,1,12,2,72,2,0.06666666666666667
high_to_low,1,12,3,72,1,0.03333333333333333
high_to_low,1,15,1,24,4,0.13333333333333333
high_to_low,1,15,1,48,10,0.3333333333333333
high_to_low,1,15,1,72,5,0.16666666666666666
