seed,ar1_phi,horizon,outer_origin,selected_order,selected_window,lambda_observed_forecast,lambda_latent_forecast_oracle,lambda_ar_residual_oracle,lambda_recovery_oracle,smoothness_observed_forecast,smoothness_latent_forecast_oracle,smoothness_ar_residual_oracle,smoothness_recovery_oracle,gap_observed_minus_latent,gap_observed_minus_ar,gap_observed_minus_recovery,observed_mse_observed_lambda,observed_mse_latent_lambda,observed_mse_recovery_lambda,observed_mse_ar_oracle,latent_mse_observed_lambda,latent_mse_latent_lambda,latent_mse_recovery_lambda,search_source_observed,search_source_latent,search_source_ar,search_source_recovery,n_stationary_observed,n_stationary_latent,n_stationary_ar,n_stationary_recovery
0,-0.8,1,120,3,72,3678135.272522475,114827.46035662478,114577.4690977339,4097.315242228104,0.9935436460403222,0.971828269849493,0.971810107573816,0.934591940707613,0.021715376190829194,0.021733538466506164,0.058951705332709214,0.012879249741200634,0.005077424124465092,0.007855646407298373,0.04153377502599484,0.049085795117783056,0.0013549992471699618,0.00037769108824830486,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,2,2,2,1
0,-0.8,1,126,3,72,2176278.6194508993,112560.45605570042,150294.52931666284,4167.767921766604,0.9910728393110679,0.9716618548835625,0.9740208182904829,0.9348407828087416,0.01941098442750544,0.017052021020585006,0.05623205650232632,0.0216192372241543,0.0736139686655126,0.0659115570168594,5.8511961414113884e-05,0.0025416195119409507,0.03051960207683675,0.02563589186259597,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,2,2,2,1
0,-0.8,1,132,3,72,2416110.8746877722,114585.20850173004,149644.61122604762,3787.9980482591873,0.9915951032454856,0.971810670547823,0.9739863060171193,0.933436875687143,0.019784432697662613,0.01760879722836628,0.05815822755834266,0.0008682373815008435,2.7438067868270368e-06,0.004010157759337027,0.008773164195645014,0.000925097827275382,6.7912194342281215e-06,0.0041313218038464975,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,2,2,2,1
0,-0.8,1,138,3,72,2205446.666029831,141533.20410122024,306690.87540206756,4060.9632824832343,0.991140085421211,0.9735402050196207,0.97935426175286,0.9344615775981978,0.01759988040159033,0.011785823668351014,0.0566785078230132,0.02440485682010811,0.019365391149558153,0.018290782571048148,0.04743584491858203,0.00033826896042626084,1.7719319668116554e-06,6.682378733121353e-06,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,2,2,2,1
0,-0.8,1,144,3,72,2263467.592194704,162249.85851841903,597344.447896098,3804.928470665999,0.9912706396659664,0.9746261404391614,0.9837528135276135,0.9335029134415019,0.016644499226805,0.0075178261383529454,0.057767726224464466,0.23285812817260781,0.23026170524628303,0.32049690804240716,0.13146120756317947,0.039200076792390945,0.03813906573544385,0.07927648368948555,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,2,2,2,1
0,-0.8,1,150,3,72,2406155.6843177485,147482.80441700635,576814.1159746551,3721.8778080937386,0.9915747332258261,0.9738702325585836,0.9835343747352275,0.9331756220560831,0.017704500667242495,0.008040358490598587,0.058399111169743056,0.5138405887151143,0.4621001977984086,0.48067341142805253,0.23687562797656375,0.0584742660422016,0.04192964723390328,0.04765223737492446,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,2,2,2,1
0,-0.8,1,156,3,72,1972618.9209164954,145073.05924816386,406821.9723058561,3445.9943916197813,0.9905702694107946,0.9737384744199209,0.9812820711636191,0.932023752122329,0.016831794990873727,0.009288198247175528,0.058546517288465605,0.04383827614415083,0.09238114566912436,0.13789467337092792,0.006889772839987026,0.00026288237840134843,0.012272296061811397,0.03174791559951216,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,2,2,2,1
0,-0.8,1,162,3,72,1776153.2179065873,154049.2764755384,452303.63271471846,3318.854996840462,0.9900220610065033,0.9742168395449531,0.9819801303698374,0.9314559900750694,0.015805221461550167,0.008041930636665806,0.058566070931433845,0.0923207101414169,0.09305545398667728,0.03228642456771235,0.06673143377838606,0.06401666224837971,0.06462873883596701,0.01660390615999142,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,2,2,2,1
0,-0.8,1,168,2,72,5571.341756831711,747.4146802861632,782.9622156535543,163.92608615518057,0.9721461305374491,0.9444855149694219,0.9452979815296861,0.9118191213188029,0.027660615568027236,0.026848149007763,0.0603270092186462,1.5535568310141112,2.144908061837116,2.744714200300435,0.22593287464845,0.01935007397942972,0.006245475641392124,0.07354713900732858,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,-0.8,1,174,3,72,2029827.8437641277,140668.64878904817,410775.19032132614,3883.892889564678,0.9907176213388796,0.9734908978731078,0.9813463158231666,0.9338064391583426,0.01722672346577181,0.00937130551571308,0.056911182180537034,0.0333460758130289,0.0006558589094936069,0.010336557032231287,0.4684003524116471,4.5281475279407575e-05,0.04620263103088796,0.08468512647225382,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,2,2,1
0,-0.8,1,180,2,48,9435.838172103884,1263.4580547152964,905.8701320497865,212.6898934727834,0.9842406086329187,0.9597163751672654,0.954305089639097,0.9245059299562094,0.024524233465653356,0.02993551899382174,0.05973467867670934,0.00037616633805689995,0.0015407604402384145,0.002332416191826406,0.0036816077212717215,3.0205858981759853e-05,0.004114390546891486,0.0005477519491721029,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,2,2,2,1
0,-0.8,1,186,2,48,9712.475061518602,1381.476789295395,709.8685036373156,219.42191888007892,0.9845074998222513,0.9610916702946546,0.9500356424994568,0.9252713258929564,0.023415829527596688,0.03447185732279445,0.05923617392929492,0.4415556545724559,0.5093798329302702,0.6859598103365314,0.24594432777183203,0.01961183316214266,0.03581715967820888,0.09227780481477303,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,2,1,2
0,-0.8,1,192,2,48,12760.155884312231,2128.2600271757924,922.4057558835723,243.70839693305257,0.9869076661524057,0.9673184701731572,0.9546113356693924,0.9278045075597312,0.019589195979248464,0.03229633048301328,0.059103158592674454,1.7250174007375754,1.8550709237232357,2.0889905734460434,0.5032849543571652,0.034502364106949804,0.054924059292433824,0.10092249606115533,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,2
0,-0.8,1,198,2,24,150129963.47524786,1218.136161093214,1065.8033889634876,622.2980887662635,0.9999997838138796,0.9794018834021623,0.9773698038758427,0.9679681686676511,0.020597900411717274,0.022629979938036837,0.03203161514622843,0.3377651294758415,0.4235204606494357,0.46867990670059856,0.143111610948775,0.008957893250738284,0.0006268661665087812,7.709216190991993e-05,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,-0.8,1,204,2,24,177351290.85761145,1162.6368065787713,1504.2614167910456,630.1231703961312,0.9999998248246217,0.9787067321110312,0.9823554486237392,0.9682076122963229,0.021293092713590478,0.01764437620088244,0.03179221252829878,0.1858792251756191,0.2055640740334329,0.21346209122819962,0.10052092597003305,0.0357811910327147,0.027857130251438583,0.02505152010589401,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,-0.8,1,210,2,24,158360321.36276054,1308.5351861636266,2585.491353971352,672.338553271842,0.9999997975467174,0.9804392958996558,0.9885138021357274,0.9694346382433351,0.01956050164706158,0.011485995410990046,0.030565159303382328,0.006711638325234854,2.0086012983254423e-06,0.00149532487410328,0.13746309660330303,0.06705319468382237,0.031840468969234065,0.019141357868369197,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,3
0,-0.8,1,216,3,48,26489122129.84347,358424.47813189356,356580.6207298073,9358.658165434188,0.9999939036535136,0.9907847359694985,0.9907519582511503,0.9558154717185284,0.00920916768401514,0.009241945402363339,0.04417843193498516,0.049151258886717536,0.03133437295681783,0.019092215445156237,0.025848220878558197,0.0005250439220662901,0.0045696912737739305,0.011329491833562418,upper_boundary,stationary_minimum,stationary_minimum,stationary_minimum,0,2,2,2
