seed,ar1_phi,horizon,n_outer_origins,mean_order,mean_window,s_observed,s_latent,s_ar,s_recovery,gap_observed_minus_latent,gap_observed_minus_ar,gap_observed_minus_recovery,mse_observed,mse_latent_lambda,mse_recovery_lambda,mse_ar_oracle,latent_mse_observed,latent_mse_latent,latent_mse_recovery,frac_lower_observed,frac_upper_observed,frac_lower_latent,frac_upper_latent,frac_lower_ar,frac_upper_ar,frac_lower_recovery,frac_upper_recovery,rmse_ar_vs_trend_only
0,-0.8,1,20,2.65,56.4,0.9924641962305177,0.974322104634372,0.9759694251782154,0.941679103900843,0.018142091596145736,0.01649477105230234,0.050785092329674764,0.3418285018777936,0.3720467370823286,0.4241353713085222,0.15263945674956086,0.031342358631178964,0.027407205021607685,0.03600385309823871,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6682350787440571
0,-0.8,2,20,2.65,64.8,0.9749442099436774,0.9723060730820864,0.9725011929796616,0.9326794954853584,0.002638136861591106,0.002443016964015654,0.042264714458319017,0.29074813566322805,0.289328010304905,0.29736169301438264,0.13903699287463062,0.030685100953373002,0.030814555651789366,0.04721454237739687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6915231345375613
0,-0.8,3,20,2.2,66.0,0.9796417115949951,0.9646559030713856,0.9676435686251091,0.9233973261029425,0.01498580852360959,0.011998142969885977,0.05624438549205265,0.3325390370419469,0.345970035298114,0.37591663358810645,0.20208433497339104,0.038509515871092644,0.03675593340842496,0.048306906284467446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7795518514404068
0,-0.8,6,20,2.25,67.2,0.9730893141055118,0.9687948551165351,0.9728937427021009,0.9234739851282331,0.004294458988976746,0.00019557140341086576,0.04961532897727875,0.34592845674919925,0.34701082296420166,0.3731327356154025,0.2544399801567407,0.048906243742663426,0.05001425850678615,0.07708733750844673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857629145978784
0,-0.8,12,19,2.1052631578947367,70.73684210526316,0.9703354701186727,0.9685138068775541,0.9702923900067612,0.9179382415541874,0.0018216632411186657,4.30801119116928e-05,0.052397228564485324,0.36810371334178144,0.3681713823046539,0.46029960182986757,0.3196718757668724,0.08312352790571606,0.08325269243139546,0.16773083866673252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9318952872448162
0,-0.4,1,20,2.95,58.8,0.9960589632267298,0.9844953277330186,0.9916555353674209,0.9644605913940039,0.011563635493711321,0.00440342785930895,0.0315983718327261,0.3817381902865302,0.35770714525269093,0.4244508010430774,0.33156467593543903,0.057615813669880375,0.04400769720220312,0.0499570720155405,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.9319686909907458
0,-0.4,2,20,3.0,55.2,0.9965873452270216,0.9878105966362638,0.9955088303198444,0.9692973592218819,0.00877674859075781,0.0010785149071772138,0.027289986005139755,0.30708762386650124,0.2915837843575598,0.32339230229857857,0.2676176196576662,0.06040106552870976,0.048123314601091635,0.06355411489295129,0.0,0.6,0.0,0.0,0.0,0.35,0.0,0.0,0.9335255197784526
0,-0.4,3,20,2.2,66.0,0.9817627974300006,0.9729969418663051,0.9809913123461511,0.9454280724200459,0.008765855563695324,0.0007714850838493103,0.03633472500995458,0.3408165147806009,0.3338873160942456,0.3401830773071567,0.3203414921975211,0.060584101441965355,0.05421470104005018,0.0556247739955454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96949658050768
0,-0.4,6,20,2.25,68.4,0.9791908423407593,0.9765823464449932,0.9789293270365308,0.9463593466857032,0.0026084958957659833,0.0002615153042285101,0.03283149565505587,0.32369190068456577,0.32047196610452133,0.34426523044893265,0.3137063919540447,0.07310181288743778,0.0694117014969707,0.07812534158021546,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.0,0.984454769781238
0,-0.4,12,19,2.1578947368421053,70.73684210526316,0.9754079501637009,0.974026581486001,0.9753647229639307,0.9419167723491157,0.0013813686776998784,4.3227199770205706e-05,0.03349117781458507,0.3498028096570267,0.34718946648547133,0.40908278555114524,0.3438473919859278,0.11027007618676422,0.10873561787566537,0.15260611831238305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9914509211242035
