seed,transition,pre_phi,post_phi,horizon,regime_point,outer_origin,relative_origin,post_observations_seen,inner_origin_count,inner_origin_earliest,inner_origin_latest,inner_origin_post_fraction,selected_window_pre_count,selected_window_post_count,selected_window_post_fraction,forecast_block_relation,selected_order,selected_window,selected_lambda,selected_smoothness,inner_objective,search_source,n_stationary_points,outer_block_mse,benchmark_block_mse,relative_rmsfe_block,selector_max_inner_origins,selector_validation_span_observations,inner_step
0,stable_low,0.0,0.0,1,180,120,-60,0,5,105,117,0.0,72,0,0.0,pre,2,72,1626351.272549387,0.9994532046825092,0.6019302537084699,stationary_minimum,4,0.002103602063311163,0.21538121508513486,0.09882751669499756,5,12,3
0,stable_low,0.0,0.0,1,180,123,-57,0,5,108,120,0.0,48,0,0.0,pre,1,48,6.158196411386334,0.8093349425936662,0.5801028994994121,stationary_minimum,2,0.6692051751956389,0.00025682031683159107,51.04638089198143,5,12,3
0,stable_low,0.0,0.0,1,180,126,-54,0,5,111,123,0.0,72,0,0.0,pre,1,72,1.522997974471263e-08,3.0459958161388936e-08,0.36371673039321634,lower_boundary,1,1.248504679452285,1.2485047244686418,0.9999999819718914,5,12,3
0,stable_low,0.0,0.0,1,180,129,-51,0,5,114,126,0.0,72,0,0.0,pre,2,72,26489122129.84347,1.00000035924574,0.44325856844937717,upper_boundary,2,0.37630124936902276,0.5051542544603466,0.8630894789775072,5,12,3
0,stable_low,0.0,0.0,1,180,132,-48,0,5,117,129,0.0,48,0,0.0,pre,2,48,26489122129.84347,0.9999990215052298,0.12182804959222178,upper_boundary,0,0.4609488148951283,1.8171877393163303,0.5036472331005236,5,12,3
0,stable_low,0.0,0.0,1,180,135,-45,0,5,120,132,0.0,48,0,0.0,pre,2,48,2094004611.3978095,0.9999997922011691,0.19705386315677767,stationary_minimum,1,0.10128335354480358,0.06591695955108957,1.2395682755595296,5,12,3
0,stable_low,0.0,0.0,1,180,138,-42,0,5,123,135,0.0,48,0,0.0,pre,2,48,1866971588.3973367,0.9999997845354986,0.20985965594196793,stationary_minimum,1,0.3737519366642654,2.4246996901247355,0.39261125680867187,5,12,3
0,stable_low,0.0,0.0,1,180,141,-39,0,5,126,138,0.0,72,0,0.0,pre,2,72,693161363.7805877,0.9999986914321985,0.21014373368529998,stationary_minimum,1,0.07531927627346581,0.5872066213762077,0.3581439318217151,5,12,3
0,stable_low,0.0,0.0,1,180,144,-36,0,5,129,141,0.0,72,0,0.0,pre,2,72,340773799.046209,0.9999973225556567,0.2237906606265244,stationary_minimum,1,0.8065146624781289,0.5581900701485168,1.2020293734338396,5,12,3
0,stable_low,0.0,0.0,1,180,147,-33,0,5,132,144,0.0,48,0,0.0,pre,3,48,1866357854.4675877,0.9999969638881969,0.290653201229839,stationary_minimum,3,0.5945764227630859,0.6381287865225921,0.9652719222641962,5,12,3
