selector_max_inner_origins,direction,horizon,relative_origin,transition_smoothness,start_reference_smoothness,target_reference_smoothness,mean_abs_smoothness_gap_to_target,mean_transition_order,mean_start_order,mean_target_order,mean_transition_window,mean_start_window,mean_target_window,order_match_target_share,window_match_target_share,discrete_config_match_target_share,mean_transition_window_post_fraction,reference_smoothness_shift,smoothness_progress,mean_inner_origin_post_fraction,mean_selected_window_post_fraction
5,low_to_high,1,21,0.9808500351556578,0.9981602337182938,0.9955442148725051,0.014694179716847278,3.0,2.0,3.0,24.0,72.0,48.0,1.0,0.0,0.0,0.875,-0.002616018845788659,6.617000711024075,1.0,0.875
5,low_to_high,1,24,0.999998276326873,0.9999985811628221,0.9999936216916763,4.6546351967213795e-06,2.0,2.0,2.0,72.0,72.0,72.0,1.0,1.0,1.0,0.3333333333333333,-4.9594711458711416e-06,0.06146541439273098,1.0,0.3333333333333333
5,low_to_high,1,27,1.00000035924574,0.9999986160093113,1.00000035924574,0.0,2.0,2.0,2.0,72.0,72.0,72.0,1.0,1.0,1.0,0.375,1.7432364287639501e-06,1.0,1.0,0.375
5,low_to_high,1,30,1.00000035924574,1.00000035924574,0.9999990443027019,1.314943038122074e-06,2.0,2.0,2.0,72.0,72.0,72.0,1.0,1.0,1.0,0.4166666666666667,-1.314943038122074e-06,-0.0,1.0,0.4166666666666667
5,low_to_high,1,33,0.9979908545616133,0.9999939036535136,1.00000035924574,0.0020095046841267505,2.0,3.0,2.0,72.0,48.0,72.0,1.0,1.0,1.0,0.4583333333333333,6.455592226450868e-06,-310.2812293027264,1.0,0.4583333333333333
5,low_to_high,1,36,3.045995807355589e-08,0.5636405258456635,1.00000035924574,1.000000328785782,1.0,1.0,2.0,48.0,72.0,72.0,0.0,0.0,0.0,0.75,0.43635983340007656,-1.291687392475768,1.0,0.75
5,low_to_high,1,39,0.8015503208908025,0.9324070350964142,0.795457107616961,0.006093213273841491,1.0,1.0,1.0,24.0,72.0,48.0,1.0,0.0,0.0,1.0,-0.13694992747945323,0.9555077290949594,1.0,1.0
5,low_to_high,1,42,0.7925358224192891,0.9835910053939776,0.7935497817986031,0.0010139593793140333,1.0,1.0,1.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,-0.19004122359537445,1.0053354706948894,1.0,1.0
5,low_to_high,1,45,0.8311231783568119,0.9993263684858261,0.8316037424763012,0.00048056411948926847,1.0,1.0,1.0,72.0,24.0,72.0,1.0,1.0,1.0,0.625,-0.16772262600952492,1.0028652313103061,1.0,0.625
5,low_to_high,1,48,0.854753009641387,0.9841994669520773,0.8549285145934401,0.00017550495205309602,1.0,1.0,1.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,-0.12927095235863717,1.0013576518842855,1.0,1.0
5,low_to_high,1,51,1.00000035924574,0.9639945235592681,1.00000035924574,0.0,2.0,1.0,2.0,72.0,24.0,72.0,1.0,1.0,1.0,0.7083333333333334,0.036005835686471976,1.0,1.0,0.7083333333333334
5,low_to_high,1,54,0.9999986857452863,0.9271457996686945,0.9999989443244915,2.5857920527005973e-07,2.0,1.0,2.0,72.0,24.0,72.0,1.0,1.0,1.0,0.75,0.07285314465579706,0.9999964506788761,1.0,0.75
5,low_to_high,1,57,0.8068556697114362,1.00000035924574,0.8068598861239364,4.216412500257505e-06,2.0,2.0,2.0,24.0,72.0,24.0,1.0,1.0,1.0,1.0,-0.1931404731218036,1.0000218308075572,1.0,1.0
5,low_to_high,1,60,3.045995807355589e-08,1.00000035924574,0.9999988489161286,0.9999988184561704,1.0,2.0,2.0,48.0,72.0,72.0,0.0,0.0,0.0,1.0,-1.5103296114871156e-06,662107.3447677105,1.0,1.0
5,low_to_high,1,63,0.8862262331288412,0.9526631702719061,0.8862264579653331,2.24836491868885e-07,3.0,3.0,3.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,-0.066436712306573,1.0000033842206224,1.0,1.0
5,low_to_high,1,66,0.12395561379186827,3.0459958149967166e-08,0.12406959849728562,0.00011398470541734707,2.0,1.0,2.0,72.0,24.0,48.0,1.0,0.0,0.0,0.9166666666666666,0.12406956803732747,0.9990812839343243,1.0,0.9166666666666666
5,low_to_high,1,69,0.09296234476217732,0.4637090896272602,0.09296235378795918,9.025781858018611e-09,2.0,2.0,2.0,48.0,24.0,48.0,1.0,1.0,1.0,1.0,-0.370746735839301,1.0000000243448721,1.0,1.0
5,low_to_high,1,72,0.4083567404723487,0.6515570822962317,0.4083567173979588,2.3074389898791736e-08,3.0,3.0,3.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,-0.24320036489827285,0.9999999051218944,1.0,1.0
5,low_to_high,1,75,0.9999999658925871,0.6341162008370053,0.9999999658895602,3.0269120543380268e-12,1.0,3.0,1.0,24.0,72.0,24.0,1.0,1.0,1.0,1.0,0.36588376505255493,1.000000000008273,1.0,1.0
5,low_to_high,1,78,0.9959367717786397,0.9883498576414056,0.9959385884476781,1.8166690384235906e-06,1.0,1.0,1.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,0.007588730806272537,0.9997606096348916,1.0,1.0
5,low_to_high,1,81,0.9999939036535136,0.9819391554582003,0.9999939036535136,0.0,3.0,1.0,3.0,48.0,72.0,48.0,1.0,1.0,1.0,1.0,0.018054748195313275,1.0,1.0,1.0
5,low_to_high,1,84,0.9999939036535136,0.9999939036535136,0.9999939036535136,0.0,3.0,3.0,3.0,48.0,48.0,48.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0
5,low_to_high,1,87,0.8341879400285109,0.9995078238064652,0.8341879372579577,2.7705532312793935e-09,3.0,1.0,3.0,72.0,48.0,72.0,1.0,1.0,1.0,1.0,-0.1653198865485075,0.9999999832412586,1.0,1.0
5,low_to_high,1,90,3.045993872368464e-07,9.13798622857188e-08,3.045993872368464e-07,0.0,3.0,2.0,3.0,24.0,48.0,24.0,1.0,1.0,1.0,1.0,2.132195249511276e-07,1.0,1.0,1.0
5,low_to_high,1,93,0.14508875636199633,0.14788314240228972,0.14508875624019218,1.2180415009943601e-10,3.0,2.0,3.0,24.0,48.0,24.0,1.0,1.0,1.0,1.0,-0.0027943861620975396,0.9999999564111246,1.0,1.0
5,low_to_high,1,96,0.2862717967747355,0.9971588990115933,0.2862717967308691,4.386641050402318e-11,3.0,2.0,3.0,24.0,72.0,24.0,1.0,1.0,1.0,1.0,-0.7108871022807242,0.9999999999382934,1.0,1.0
5,low_to_high,1,99,0.9999980093509093,0.9999987424492848,0.9999981573654356,1.4801452630219813e-07,2.0,2.0,2.0,72.0,72.0,72.0,1.0,1.0,1.0,1.0,-5.850838491472388e-07,1.2529800241759017,1.0,1.0
5,low_to_high,1,102,1.00000035924574,1.00000035924574,1.00000035924574,0.0,2.0,2.0,2.0,72.0,72.0,72.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0
5,low_to_high,1,105,0.9332983089609588,0.9982693867615513,0.9332983095348943,5.739355657397027e-10,2.0,3.0,2.0,24.0,72.0,24.0,1.0,1.0,1.0,1.0,-0.06497107722665696,1.0000000088337087,1.0,1.0
5,low_to_high,1,108,0.9051976442215787,0.9999989902053644,0.9051976442829103,6.133160646015767e-11,2.0,3.0,2.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,-0.09480134592245415,1.0000000006469487,1.0,1.0
5,low_to_high,1,111,0.9089651905196803,0.9999987523564559,0.9089651905555612,3.5880964865953047e-11,2.0,3.0,2.0,24.0,72.0,24.0,1.0,1.0,1.0,1.0,-0.09103356180089461,1.000000000394151,1.0,1.0
5,low_to_high,1,114,0.8972711400186442,0.9999958924587974,0.8972711400336565,1.5012324716678904e-11,2.0,3.0,2.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,-0.1027247524251409,1.0000000001461413,1.0,1.0
5,low_to_high,1,117,0.9454098972052677,0.9999958924587974,0.9454098972136554,8.387734951043058e-12,3.0,3.0,3.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,-0.05458599524514196,1.0000000001536609,1.0,1.0
10,high_to_low,1,-60,0.4119874628836854,0.4119874628836854,0.9668406604406117,0.5548531975569263,1.0,1.0,2.0,48.0,48.0,24.0,0.0,0.0,0.0,0.0,0.5548531975569263,0.0,0.0,0.0
10,high_to_low,1,-57,0.2973641085789618,0.2973641085789618,0.9999958924587974,0.7026317838798356,1.0,1.0,3.0,48.0,48.0,24.0,0.0,0.0,0.0,0.0,0.7026317838798356,0.0,0.0,0.0
10,high_to_low,1,-54,0.015552176150991345,0.015552176150991345,0.9999958924587974,0.984443716307806,1.0,1.0,3.0,48.0,48.0,24.0,0.0,0.0,0.0,0.0,0.984443716307806,0.0,0.0,0.0
10,high_to_low,1,-51,0.18810768009615514,0.18810768009615514,0.9870586657166935,0.7989509856205383,1.0,1.0,2.0,48.0,48.0,72.0,0.0,0.0,0.0,0.0,0.7989509856205383,0.0,0.0,0.0
10,high_to_low,1,-48,0.843289736397094,0.843289736397094,0.9913952632294614,0.14810552683236733,2.0,2.0,2.0,72.0,72.0,72.0,1.0,1.0,1.0,0.0,0.14810552683236733,0.0,0.0,0.0
10,high_to_low,1,-45,0.3410597946177302,0.3410597946177302,0.9977913228674296,0.6567315282496993,1.0,1.0,2.0,48.0,48.0,72.0,0.0,0.0,0.0,0.0,0.6567315282496993,0.0,0.0,0.0
10,high_to_low,1,-42,0.050342293273765396,0.050342293273765396,0.9965911494613858,0.9462488561876204,1.0,1.0,2.0,48.0,48.0,72.0,0.0,0.0,0.0,0.0,0.9462488561876204,0.0,0.0,0.0
10,high_to_low,1,-39,0.8451956826262405,0.8451956826262405,0.9999996260882208,0.15480394346198034,2.0,2.0,2.0,72.0,72.0,72.0,1.0,1.0,1.0,0.0,0.15480394346198034,0.0,0.0,0.0
10,high_to_low,1,-36,0.8686432351191633,0.8686432351191633,0.9999996219308538,0.13135638681169048,2.0,2.0,2.0,24.0,24.0,72.0,1.0,0.0,0.0,0.0,0.13135638681169048,0.0,0.0,0.0
10,high_to_low,1,-33,0.840281863900701,0.840281863900701,0.9950929100558488,0.15481104615514774,2.0,2.0,2.0,24.0,24.0,72.0,1.0,0.0,0.0,0.0,0.15481104615514774,0.0,0.0,0.0
10,high_to_low,1,-30,0.9999987523564559,0.9999987523564559,0.9951823710981235,0.004816381258332392,3.0,3.0,2.0,72.0,72.0,72.0,0.0,1.0,0.0,0.0,-0.004816381258332392,-0.0,0.0,0.0
10,high_to_low,1,-27,0.9999987523564559,0.9999987523564559,0.9951707683795772,0.004827983976878669,3.0,3.0,2.0,72.0,72.0,72.0,0.0,1.0,0.0,0.0,-0.004827983976878669,-0.0,0.0,0.0
10,high_to_low,1,-24,0.9999987523564559,0.9999987523564559,0.9999980242418438,7.281146120474702e-07,3.0,3.0,2.0,72.0,72.0,72.0,0.0,1.0,0.0,0.0,-7.281146120474702e-07,-0.0,0.0,0.0
10,high_to_low,1,-21,0.8737087048400605,0.8737087048400605,0.9999987918658274,0.12629008702576694,2.0,2.0,2.0,24.0,24.0,72.0,1.0,0.0,0.0,0.0,0.12629008702576694,0.0,0.0,0.0
10,high_to_low,1,-18,0.3298567008506992,0.3298567008506992,1.00000035924574,0.6701436583950409,1.0,1.0,2.0,48.0,48.0,72.0,0.0,0.0,0.0,0.0,0.6701436583950409,0.0,0.0,0.0
10,high_to_low,1,-15,3.045995807355589e-08,3.045995807355589e-08,0.9999939036535136,0.9999938731935555,1.0,1.0,3.0,48.0,48.0,48.0,0.0,1.0,0.0,0.0,0.9999938731935555,0.0,0.0,0.0
10,high_to_low,1,-12,0.6858544755085914,0.6858544755085914,1.00000035924574,0.3141458837371487,3.0,3.0,2.0,24.0,24.0,72.0,0.0,0.0,0.0,0.0,0.3141458837371487,0.0,0.0,0.0
