selector_max_inner_origins,selector_validation_span_observations,direction,horizon,threshold,adaptation_delay_observations,achieved,first_all_inner_origins_post_regime,mean_abs_reference_smoothness_shift_post
5,12,high_to_low,1,0.5,9.0,True,15.0,0.2563874777319405
5,12,high_to_low,1,0.8,15.0,True,15.0,0.2563874777319405
5,12,high_to_low,3,0.5,9.0,True,15.0,0.1884938710624146
5,12,high_to_low,3,0.8,9.0,True,15.0,0.1884938710624146
5,12,high_to_low,6,0.5,9.0,True,18.0,0.08646417498503152
5,12,high_to_low,6,0.8,15.0,True,18.0,0.08646417498503152
5,12,high_to_low,12,0.5,18.0,True,24.0,0.03965242464618116
5,12,high_to_low,12,0.8,18.0,True,24.0,0.03965242464618116
5,12,low_to_high,1,0.5,9.0,True,15.0,0.2563874777319405
5,12,low_to_high,1,0.8,12.0,True,15.0,0.2563874777319405
5,12,low_to_high,3,0.5,15.0,True,15.0,0.1884938710624146
5,12,low_to_high,3,0.8,18.0,True,15.0,0.1884938710624146
5,12,low_to_high,6,0.5,15.0,True,18.0,0.08646417498503152
5,12,low_to_high,6,0.8,21.0,True,18.0,0.08646417498503152
5,12,low_to_high,12,0.5,18.0,True,24.0,0.03965242464618116
5,12,low_to_high,12,0.8,63.0,True,24.0,0.03965242464618116
10,27,high_to_low,1,0.5,12.0,True,30.0,0.39661567532111724
10,27,high_to_low,1,0.8,15.0,True,30.0,0.39661567532111724
10,27,high_to_low,3,0.5,12.0,True,30.0,0.3278525965007245
10,27,high_to_low,3,0.8,27.0,True,30.0,0.3278525965007245
10,27,high_to_low,6,0.5,12.0,True,33.0,0.15596210201820598
10,27,high_to_low,6,0.8,27.0,True,33.0,0.15596210201820598
10,27,high_to_low,12,0.5,21.0,True,39.0,0.04887169922455371
10,27,high_to_low,12,0.8,27.0,True,39.0,0.04887169922455371
10,27,low_to_high,1,0.5,21.0,True,30.0,0.39661567532111724
10,27,low_to_high,1,0.8,27.0,True,30.0,0.39661567532111724
10,27,low_to_high,3,0.5,21.0,True,30.0,0.3278525965007245
10,27,low_to_high,3,0.8,33.0,True,30.0,0.3278525965007245
10,27,low_to_high,6,0.5,33.0,True,33.0,0.15596210201820598
10,27,low_to_high,6,0.8,33.0,True,33.0,0.15596210201820598
10,27,low_to_high,12,0.5,33.0,True,39.0,0.04887169922455371
10,27,low_to_high,12,0.8,36.0,True,39.0,0.04887169922455371
20,57,high_to_low,1,0.5,15.0,True,60.0,0.5392364596365864
20,57,high_to_low,1,0.8,30.0,True,60.0,0.5392364596365864
20,57,high_to_low,3,0.5,21.0,True,60.0,0.4620483012016853
20,57,high_to_low,3,0.8,39.0,True,60.0,0.4620483012016853
20,57,high_to_low,6,0.5,21.0,True,63.0,0.20722365883921912
20,57,high_to_low,6,0.8,48.0,True,63.0,0.20722365883921912
20,57,high_to_low,12,0.5,30.0,True,69.0,0.07129884799619494
20,57,high_to_low,12,0.8,45.0,True,69.0,0.07129884799619494
20,57,low_to_high,1,0.5,36.0,True,60.0,0.5392364596365864
20,57,low_to_high,1,0.8,54.0,True,60.0,0.5392364596365864
20,57,low_to_high,3,0.5,51.0,True,60.0,0.4620483012016853
20,57,low_to_high,3,0.8,60.0,True,60.0,0.4620483012016853
20,57,low_to_high,6,0.5,42.0,True,63.0,0.20722365883921912
20,57,low_to_high,6,0.8,81.0,True,63.0,0.20722365883921912
20,57,low_to_high,12,0.5,66.0,True,69.0,0.07129884799619494
20,57,low_to_high,12,0.8,87.0,True,69.0,0.07129884799619494
30,87,high_to_low,1,0.5,18.0,True,90.0,0.6191190382201978
30,87,high_to_low,1,0.8,48.0,True,90.0,0.6191190382201978
30,87,high_to_low,3,0.5,27.0,True,90.0,0.4996747146720706
30,87,high_to_low,3,0.8,45.0,True,90.0,0.4996747146720706
30,87,high_to_low,6,0.5,27.0,True,93.0,0.22841395792015076
30,87,high_to_low,6,0.8,48.0,True,93.0,0.22841395792015076
30,87,high_to_low,12,0.5,69.0,True,99.0,0.08969702346589843
30,87,high_to_low,12,0.8,81.0,True,99.0,0.08969702346589843
30,87,low_to_high,1,0.5,60.0,True,90.0,0.6191190382201978
30,87,low_to_high,1,0.8,84.0,True,90.0,0.6191190382201978
30,87,low_to_high,3,0.5,72.0,True,90.0,0.4996747146720706
30,87,low_to_high,3,0.8,84.0,True,90.0,0.4996747146720706
30,87,low_to_high,6,0.5,90.0,True,93.0,0.22841395792015076
30,87,low_to_high,6,0.8,96.0,True,93.0,0.22841395792015076
30,87,low_to_high,12,0.5,96.0,True,99.0,0.08969702346589843
30,87,low_to_high,12,0.8,99.0,True,99.0,0.08969702346589843
