selector_max_inner_origins,transition,horizon,period,n_blocks,mean_selected_order,mean_selected_window,mean_selected_smoothness,mean_inner_origin_post_fraction,mean_outer_block_mse,mean_benchmark_block_mse,pooled_relative_rmsfe
5,high_to_low,1,early,360,2.161111111111111,49.8,0.8411296332761112,0.75,0.4621860743517142,0.48998103679195193,0.9712226271627036
5,high_to_low,1,late,480,2.3,51.85,0.889329337457023,1.0,0.4220406743418559,0.527178596660582,0.8947429174266005
5,high_to_low,1,mid,360,2.1944444444444446,53.06666666666667,0.8666716534854249,1.0,0.4461257967741684,0.5012673065954686,0.9433958863900601
5,high_to_low,1,pre,600,2.095,47.44,0.6930376938619492,0.0,0.18194308318268718,0.11499485762818815,1.2578491627403
5,high_to_low,3,early,360,2.0944444444444446,55.13333333333333,0.8884559384502931,0.75,0.42077700421957276,0.5789390603185539,0.8525298080385919
5,high_to_low,3,late,480,2.29375,54.0,0.9515156601484126,1.0,0.37264798854470166,0.703478066115135,0.7278202088762958
5,high_to_low,3,mid,360,2.2777777777777777,54.53333333333333,0.9540688183492105,1.0,0.38994753374744934,0.5972022769621913,0.8080576786159116
5,high_to_low,3,pre,600,1.945,51.4,0.7438905746988466,0.0,0.3400956758559907,0.23751491494927762,1.1966168436781215
5,high_to_low,6,early,360,2.136111111111111,56.06666666666667,0.9329501720640604,0.6666666666666666,0.4730757794220155,0.8080236672358314,0.7651618631760433
5,high_to_low,6,late,450,2.2844444444444445,54.50666666666667,0.9633604491354201,1.0,0.3673718683893148,1.1585246163455634,0.5631191743730755
5,high_to_low,6,mid,360,2.325,55.53333333333333,0.9745119352810199,1.0,0.4322446332141387,0.9102304331012251,0.6891109151377575
5,high_to_low,6,pre,600,1.9533333333333334,54.72,0.8527041613505145,0.0,0.6148633043481924,0.4774932815874257,1.134764274786228
5,high_to_low,12,early,360,2.1305555555555555,58.4,0.958601385415063,0.5,0.6696080140146674,1.7063081861338218,0.6264430338930496
5,high_to_low,12,late,390,2.2435897435897436,56.43076923076923,0.9729917339338534,1.0,0.5173029674724645,2.826344361714221,0.4278188808318318
5,high_to_low,12,mid,360,2.2888888888888888,56.53333333333333,0.9863184489508825,1.0,0.5576954767167396,2.111519924592864,0.5139264491020297
5,high_to_low,12,pre,600,2.0,57.52,0.9212310911899406,0.0,0.8734513587803308,1.1888728497241303,0.8571397929121375
5,low_to_high,1,early,360,2.091666666666667,47.333333333333336,0.6974829827538306,0.75,0.18826563982500336,0.11254915357275325,1.293345081060218
5,low_to_high,1,late,480,2.075,46.55,0.6285714066547824,1.0,0.20336337252309009,0.13780544552451232,1.2147955098254888
5,low_to_high,1,mid,360,2.0444444444444443,46.733333333333334,0.6411110194818803,1.0,0.18765929472638207,0.13033984205416851,1.1999038441985561
5,low_to_high,1,pre,600,2.18,51.6,0.8994129978024684,0.0,0.4119358060982895,0.5127165168429773,0.8963468930977091
5,low_to_high,3,early,360,2.036111111111111,49.86666666666667,0.812084735035836,0.75,0.29518055415995004,0.2658965209544694,1.053628584605671
5,low_to_high,3,late,480,2.0083333333333333,52.6,0.7642578339033557,1.0,0.34403153501282646,0.3687966665965252,0.9658409907146682
5,low_to_high,3,mid,360,1.9555555555555555,50.4,0.7561790285264379,1.0,0.32712480217321593,0.3123638606056055,1.023355070213798
5,low_to_high,3,pre,600,2.1283333333333334,53.2,0.9358246006223826,0.0,0.37441323445083946,0.5310800142854895,0.8396448268318147
5,low_to_high,6,early,360,2.138888888888889,55.333333333333336,0.9094334439101217,0.6666666666666666,0.42793774052672556,0.5829291642231154,0.8568058099207024
5,low_to_high,6,late,450,2.0644444444444443,54.346666666666664,0.8688882053528302,1.0,0.45286364331886186,0.8962360179344987,0.7108411018786971
5,low_to_high,6,mid,360,2.0305555555555554,52.53333333333333,0.8790570208968417,1.0,0.5116406854386287,0.7153427782836873,0.8457177340104212
5,low_to_high,6,pre,600,2.158333333333333,56.04,0.9656185084988013,0.0,0.43075713477334593,0.6992953195068988,0.7848486743201102
5,low_to_high,12,early,360,2.202777777777778,58.93333333333333,0.9513602222831146,0.5,0.8406080380417863,1.5871563070757357,0.7277578850894054
5,low_to_high,12,late,390,2.105128205128205,57.23076923076923,0.9545701538535347,1.0,0.735227897071554,2.6042608391775066,0.5313353961936146
5,low_to_high,12,mid,360,2.125,57.266666666666666,0.9574229789394502,1.0,0.7700064464630917,2.0227880845830444,0.6169812799992335
5,low_to_high,12,pre,600,2.14,58.96,0.966886640874706,0.0,0.5525805922263594,1.3120469344408552,0.6489677693599226
5,stable_high,1,early,360,2.0944444444444446,47.4,0.6305939481476851,0.75,0.17840250372057354,0.1114532778059841,1.26518504511175
5,stable_high,1,late,480,2.075,46.55,0.6285597548362911,1.0,0.20327540329410917,0.13780544558515473,1.2145327380911166
5,stable_high,1,mid,360,2.058333333333333,46.46666666666667,0.6500784922847601,1.0,0.19499528846618597,0.13033938951848698,1.2231345043860697
5,stable_high,1,pre,600,2.095,47.44,0.6930376938619492,0.0,0.18194308318268718,0.11499485762818815,1.2578491627403
5,stable_high,3,early,360,1.9972222222222222,50.13333333333333,0.7392750968201339,0.75,0.30002865226354375,0.26223308381469707,1.0696399732374193
5,stable_high,3,late,480,2.0125,51.85,0.7663292034566779,1.0,0.34442697313221887,0.36879666663413224,0.9663959116816253
