seed,ar1_phi,horizon,outer_origin,selected_order,selected_window,smoothness_observed_forecast,smoothness_latent_forecast_oracle,smoothness_ar_residual_oracle,smoothness_recovery_oracle,gap_observed_minus_latent,gap_observed_minus_ar,gap_observed_minus_recovery,observed_mse_observed_lambda,observed_mse_latent_lambda,observed_mse_recovery_lambda,observed_mse_ar_oracle,latent_mse_observed_lambda,latent_mse_latent_lambda,latent_mse_recovery_lambda,search_source_observed,search_source_latent,search_source_ar,search_source_recovery,n_stationary_observed,n_stationary_latent,n_stationary_ar,n_stationary_recovery
0,0.0,1,120,3,72,0.9966617747032164,0.9918065596697179,0.9966617747032164,0.9601633915764949,0.004855215033498506,0.0,0.03649838312672149,0.03013759582537472,0.04366970167273745,0.14290048068461872,0.03013759582537472,0.1043718154192078,0.0827684898188346,0.014076945216997436,upper_boundary,stationary_minimum,upper_boundary,stationary_minimum,0,1,0,1
0,0.0,1,126,3,72,0.9966617747032164,0.9753902249094196,0.9966617747032164,0.9598685422868716,0.02127154979379675,0.0,0.0367932324163448,0.44440574254961573,0.2071150026031422,0.17561290530679188,0.44440574254961573,0.033171855693692597,0.0008647905970168916,0.0042829538435764525,upper_boundary,stationary_minimum,upper_boundary,stationary_minimum,0,3,0,1
0,0.0,1,132,3,72,0.9938132975102348,0.9896965919048941,0.9938132975102348,0.9617505630167583,0.00411670560534072,0.0,0.03206273449347652,0.07805704270154493,0.04995399183342205,0.036717414010726784,0.07805704270154493,0.006740619490762064,0.0006873975492983585,3.212331975239713e-05,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,3,1,1
0,0.0,1,138,3,72,0.9925607209694373,0.989483197864848,0.9925607209694373,0.9637459560312472,0.003077523104589308,0.0,0.02881476493819002,0.11791030214466167,0.12933560096466934,0.09549745164264989,0.11791030214466167,0.0002588748181370697,2.634412236530521e-08,0.002544563164414917,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,0.0,1,144,3,72,0.9930853006056647,0.9896123333688404,0.9930853006056647,0.9654614069575873,0.0034729672368243314,0.0,0.02762389364807738,0.10244295314661514,0.11697911283458197,0.17244735144233164,0.10244295314661514,0.0669748828148952,0.07882058850066068,0.12531299747899094,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,0.0,1,150,3,72,0.993456544931605,0.9908591899632994,0.993456544931605,0.9654040392468006,0.0025973549683055985,0.0,0.02805250568480433,0.4153140367734229,0.4206876117340988,0.4694812482214885,0.4153140367734229,0.21225879698223088,0.21610528278099075,0.25145602796137584,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,0.0,1,156,3,72,0.9934170855357668,0.9903740414562888,0.9934170855357668,0.9658128536425988,0.0030430440794779745,0.0,0.027604231893167963,0.039640660057976874,0.029370076886853128,0.00042573018305061495,0.039640660057976874,0.023892380788019967,0.01609066444791314,0.004245988428306997,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,0.0,1,162,3,72,0.9925143746375515,0.9901515041988909,0.9925143746375515,0.9679623104583424,0.0023628704386606803,0.0,0.024552064179209188,0.00786134240839437,0.0037792775583049597,2.725556491163217e-05,0.00786134240839437,0.04125076855114141,0.053034052749200714,0.08820172361470964,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,0.0,1,168,3,72,0.994777710182105,0.9919389579048769,0.994777710182105,0.9697436642556535,0.002838752277228185,0.0,0.02503404592645153,0.1040453886411978,0.10855990341110523,0.283949429504178,0.1040453886411978,0.06394871987614593,0.060494952313175046,0.0018124144246544074,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,0.0,1,174,3,72,0.9940280704437742,0.9904411775644342,0.9940280704437742,0.9702652900174756,0.003586892879339998,0.0,0.023762780426298535,2.867631659926589,2.7153990923067894,2.135455820007974,2.867631659926589,0.0440229392846404,0.026979688558090274,0.0004960404383454454,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,0.0,1,180,2,24,0.9999959541256663,0.9906872892253192,0.9999959541256663,0.9912193629525231,0.009308664900347097,0.0,0.008776591173143222,0.015315640166311937,0.005094898539543249,0.005530343351030759,0.015315640166311937,0.039062470525425795,0.021101764190799933,0.021978709844020235,upper_boundary,stationary_minimum,upper_boundary,stationary_minimum,0,1,0,1
0,0.0,1,186,2,24,0.9916801894419865,0.9869201544875518,0.9916801894419865,0.9888962821136029,0.0047600349544347775,0.0,0.002783907328383628,0.22396875464117313,0.26030930891816234,0.24502822858884257,0.22396875464117313,0.08929078821196687,0.11273976940498333,0.1027622597574914,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,0.0,1,192,2,72,0.9918329287105847,0.9841514476603302,0.9918329287105847,0.9546290077022404,0.007681481050254457,0.0,0.037203921008344354,0.5692711362706866,0.4995274934332845,0.5651045573630661,0.5692711362706866,0.09378139417936833,0.06682715245479462,0.09209480500174778,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,0.0,1,198,2,72,0.9965947139396716,0.9881233155351579,0.9965947139396716,0.9551076069399264,0.00847139840451372,0.0,0.04148710699974523,0.08476634064732297,0.16982465882967812,0.32213845518142487,0.08476634064732297,0.15026422456102487,0.07112249903174665,0.012368436046273492,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,0.0,1,204,2,72,0.9959656242541216,0.9847112009807154,0.9959656242541216,0.9551851656594155,0.0112544232734062,0.0,0.04078045859470614,0.19852311673642958,0.31715050737322753,0.40233770191259327,0.19852311673642958,0.3071294160743569,0.19061147162645353,0.13355440066260377,stationary_minimum,stationary_minimum,stationary_minimum,stationary_minimum,1,1,1,1
0,0.0,1,210,2,24,0.9999959541256663,0.9908152112628292,0.9999959541256663,0.9904572816577154,0.009180742862837099,0.0,0.009538672467950926,0.3070176388376092,0.26047366814697354,0.25876553547363307,0.3070176388376092,0.2972655090521537,0.25149732678742837,0.24981893348798312,upper_boundary,stationary_minimum,upper_boundary,stationary_minimum,0,1,0,1
